name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Mal Rune	Mal	18	r23	1	noheal		1	1									red-mag		7	7									red-mag		7	7								0
Ist Rune	Ist	18	r24	1	mag%		30	30									mag%		25	25									mag%		25	25								0
Gul Rune	Gul	18	r25	1	att%		20	20									res-pois-max		5	5									res-pois-max		5	5								0
Vex Rune	Vex	18	r26	1	manasteal		7	7									res-fire-max		5	5									res-fire-max		5	5								0
Ohm Rune	Ohm	18	r27	1	dmg%		50	50									res-cold-max		5	5									res-cold-max		5	5								0
Lo Rune	Lo	18	r28	1	deadly		20	20									res-ltng-max		5	5									res-ltng-max		5	5								0
Sur Rune	Sur	18	r29	1	stupidity		1	1									mana%		10	10									mana		100	100								0
Ber Rune	Ber	18	r30	1	crush		25	25									red-dmg%		8	8									red-dmg%		8	8								0
Jah Rune	Jah	18	r31	1	ignore-ac		1	1									hp%		10	10									hp		100	100								0
Cham Rune	Cham	18	r32	1	freeze		15	15									nofreeze		1	1									nofreeze		1	1								0
Zod Rune	Zod	18	r33	1	indestruct		1	1									indestruct		1	1									indestruct		1	1								0
