Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)		
69	414	785	1165	414	924	1644	738	1332	2800	738	1332	3360	525	1651	3257	525	1651	5210	43	57	80	43	57	96	4293	19634	29451	4293	19634	29451		115
70	420	796	1179	420	936	1664	749	1350	2838	749	1350	3406	539	1685	3343	539	1685	5348	43	57	80	43	57	96	4397	20540	30810	4397	20540	30810		115
71	426	806	1194	426	948	1686	760	1368	2876	760	1368	3451	552	1720	3429	552	1720	5486	44	59	81	44	59	97	4501	21446	32169	4501	21446	32169		116
72	432	816	1209	432	960	1706	771	1386	2914	771	1386	3497	565	1753	3515	565	1753	5624	44	59	81	44	59	97	4605	22352	33528	4605	22352	33528		116
73	438	826	1224	438	972	1728	782	1404	2952	782	1404	3542	579	1788	3602	579	1788	5762	45	60	83	45	60	100	4709	23258	34887	4709	23258	34887		120
74	444	836	1239	444	984	1750	793	1422	2990	793	1422	3588	592	1821	3688	592	1821	5900	46	61	85	46	61	102	4813	24164	36246	4813	24164	36246		122
75	450	847	1254	450	996	1770	804	1440	3028	804	1440	3634	605	1856	3774	605	1856	6038	46	61	85	46	61	102	4917	25070	37605	4917	25070	37605		122
76	456	857	1269	456	1008	1792	815	1458	3066	815	1458	3679	618	1891	3860	618	1891	6176	47	63	87	47	63	104	5021	25976	38964	5021	25976	38964		125
77	462	867	1284	462	1020	1812	826	1476	3104	826	1476	3725	632	1924	3947	632	1924	6314	47	63	87	47	63	104	5125	26882	40323	5125	26882	40323		125
78	468	877	1299	468	1032	1834	837	1494	3142	837	1494	3770	645	1959	4033	645	1959	6452	48	64	89	48	64	107	5229	27788	41682	5229	27788	41682		128
79	474	887	1314	474	1044	1855	848	1512	3180	848	1512	3816	658	1992	4119	658	1992	6590	49	65	91	49	65	109	5333	28694	43041	5333	28694	43041		131
80	480	898	1329	480	1056	1876	859	1530	3218	859	1530	3862	673	2027	4205	673	2027	6728	49	65	91	49	65	109	5437	29600	44400	5437	29600	44400		131
81	486	908	1344	486	1068	1897	870	1548	3256	870	1548	3907	688	2061	4292	688	2061	6866	50	67	93	50	67	112	5541	30506	45759	5541	30506	45759		134
82	492	918	1358	492	1080	1918	881	1566	3294	881	1566	3953	702	2095	4378	702	2095	7004	50	67	93	50	67	112	5645	31412	47118	5645	31412	47118		134
83	498	928	1374	498	1092	1939	892	1584	3332	892	1584	3998	717	2129	4464	717	2129	7142	51	68	94	51	68	113	5749	32318	48477	5749	32318	48477		136
84	504	938	1389	504	1104	1961	903	1602	3370	903	1602	4044	732	2163	4550	732	2163	7280	51	68	94	51	68	113	5853	33224	49836	5853	33224	49836		136
85	510	949	1403	510	1116	1981	914	1620	3408	914	1620	4090	746	2197	4637	746	2197	7418	52	69	96	52	69	115	5957	34130	51195	5957	34130	51195		138
86	516	959	1419	516	1128	2003	925	1638	3446	925	1638	4135	761	2232	4723	761	2232	7556	53	70	98	53	70	118	6061	35036	52554	6061	35036	52554		142
87	522	969	1433	522	1140	2023	936	1656	3484	936	1656	4181	775	2265	4809	775	2265	7694	53	70	98	53	70	118	6165	35942	53913	6165	35942	53913		142
88	528	979	1448	528	1152	2045	947	1674	3522	947	1674	4226	790	2300	4895	790	2300	7832	54	72	100	54	72	120	6269	36848	55272	6269	36848	55272		144
89	534	989	1464	534	1164	2066	958	1692	3560	958	1692	4272	805	2333	4982	805	2333	7970	55	73	102	55	73	122	6373	37754	56631	6373	37754	56631		146
90	540	1000	1478	540	1176	2087	969	1710	3598	969	1710	4318	821	2368	5068	821	2368	8108	55	73	102	55	73	122	6477	38660	57990	6477	38660	57990		146
91	546	1010	1493	546	1188	2108	980	1728	3636	980	1728	4363	837	2403	5154	837	2403	8246	56	74	104	56	74	125	6581	39566	59349	6581	39566	59349		150
92	552	1020	1508	552	1200	2129	991	1746	3674	991	1746	4409	853	2436	5240	853	2436	8384	56	74	104	56	74	125	6685	40472	60708	6685	40472	60708		150
93	558	1030	1523	558	1212	2150	1002	1764	3712	1002	1764	4454	868	2471	5327	868	2471	8522	57	76	105	57	76	126	6789	41378	62067	6789	41378	62067		151
94	564	1040	1539	564	1224	2172	1013	1782	3750	1013	1782	4500	884	2504	5413	884	2504	8660	58	77	107	58	77	128	6893	42284	63426	6893	42284	63426		154
95	570	1051	1553	570	1236	2192	1024	1800	3788	1024	1800	4546	900	2539	5499	900	2539	8798	58	77	107	58	77	128	6997	43190	64785	6997	43190	64785		154
96	576	1061	1568	576	1248	2214	1035	1818	3826	1035	1818	4591	916	2573	5585	916	2573	8936	59	78	109	59	78	131	7101	44096	66144	7101	44096	66144		157
97	582	1071	1583	582	1260	2234	1046	1836	3864	1046	1836	4637	932	2607	5672	932	2607	9074	59	78	109	59	78	131	7205	45002	67503	7205	45002	67503		157
98	588	1081	1598	588	1272	2256	1057	1854	3902	1057	1854	4682	948	2641	5758	948	2641	9212	60	80	111	60	80	133	7309	45908	68862	7309	45908	68862		160
99	594	1091	1613	594	1284	2278	1068	1872	3940	1068	1872	4728	964	2675	5844	964	2675	9350	60	80	111	60	80	133	7413	46814	70221	7413	46814	70221		160
100	600	1102	1628	600	1296	2298	1079	1890	3978	1079	1890	4774	982	2709	5930	982	2709	9488	61	81	113	61	81	136	7517	47720	71580	7517	47720	71580		163
101	606	1112	1643	606	1308	2320	1090	1908	4016	1090	1908	4819	999	2744	6017	999	2744	9626	62	82	115	62	82	138	7621	48626	72939	7621	48626	72939		166
102	612	1122	1658	612	1320	2340	1101	1926	4054	1101	1926	4865	1016	2777	6103	1016	2777	9764	62	82	115	62	82	138	7725	49532	74298	7725	49532	74298		166
103	618	1132	1673	618	1332	2362	1112	1944	4092	1112	1944	4910	1033	2812	6189	1033	2812	9902	63	84	117	63	84	140	7829	50438	75657	7829	50438	75657		168
104	624	1142	1688	624	1344	2383	1123	1962	4130	1123	1962	4956	1051	2845	6275	1051	2845	10040	63	84	117	63	84	140	7933	51344	77016	7933	51344	77016		168
105	630	1153	1703	630	1356	2404	1134	1980	4168	1134	1980	5002	1068	2880	6362	1068	2880	10178	64	85	118	64	85	142	8037	52250	78375	8037	52250	78375		170
106	636	1163	1718	636	1368	2425	1145	1998	4206	1145	1998	5047	1085	2915	6448	1085	2915	10316	65	86	120	65	86	144	8141	53156	79734	8141	53156	79734		173
107	642	1173	1732	642	1380	2446	1156	2016	4244	1156	2016	5093	1103	2948	6534	1103	2948	10454	65	86	120	65	86	144	8245	54062	81093	8245	54062	81093		173
108	648	1183	1748	648	1392	2467	1167	2034	4282	1167	2034	5138	1120	2983	6620	1120	2983	10592	66	88	122	66	88	146	8349	54968	82452	8349	54968	82452		175
109	654	1193	1763	654	1404	2489	1178	2052	4320	1178	2052	5184	1137	3016	6707	1137	3016	10730	67	89	124	67	89	149	8453	55874	83811	8453	55874	83811		179
110	2100	2100	2100	2100	2100	2500	6532	6532	6532	6532	6532	6532	10000	10000	10000	10000	10000	11000	130	130	130	130	130	150	160000	160000	160000	160000	160000	160000		
