name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	minac	maxac	block	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	
Wand	wand		wnd	wnd	wnd	0		1	1	2	4										0	0	0	230	70			60		2	0	192	11730	1	303	wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5	4	6	7	9	5					20					20			1	2	20					20					20					20					20					20					20					20					20					20					20					20			5	8	0	ywn	bwn	1	0	300
Yew Wand	wand		ywn	ywn	ywn	0		1	1	2	8									10	0	0	0	230	70			60		12	0	550	52320	1	303	wnd	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5	1	2	1	1	5					20					20	3	5	5	9	20					20					20	2	3	2	3	20					20					20					20					20				1	20					20					20					20			5	8	0	bwn	gwn	1	0	300
Bone Wand	wand		bwn	bwn	bwn	0		1	1	3	7									-20	0	0	0	230	70			60		18	0	882	104484	1	303	wnd	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20	1	3	1	3	20					20					20	3	5	5	7	20					20					20					20					20	3	4	2	3	20					20					20	3	4	2	3	20			1	2	0	xxx	xxx	1	0	300
Grim Wand	wand		gwn	bwn	gwn	0		1	1	5	11										0	0	0	230	70			60		26	0	1338	210144	1	303	wnd	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					5					5					5					20					20					20					20					20	1	2		1	20					20					20					20					20	1	3	1	2	20					20					20	1	3	1	2	20			1	2	0	xxx	xxx	1	0	300
Club	club		clb	clb	clb	0		1	1	1	6									-10	0	0	0	220	80			60		1	0	52	9096			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					5	1	1	1	1	5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			5	2	0	mac	mst	1	0	300
Scepter	scep		scp	mac	scp	0		2	1	6	11										0	0	0	220	80	25		60		3	0	294	15150		303	mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5	2	4	2	4	5					20					20	2	3	3	5	20					20					20		1		1	20					20					20					20					20					20					20					20					20			2	2	0	gsc	wsp	1	0	300
Grand Scepter	scep		gsc	mac	gsc	0		4	1	8	18								1	10	0	0	0	220	80	37		60		15	0	772	79905		303	mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20	1	3	1	3	20					20					20	3	5	3	5	20					20					20					20					20	1	2	1	1	20					20					20	2	3	1	2	20			2	2	0	xxx	wsp	1	0	300
War Scepter	scep		wsp	whm	wsp	0		4	1	10	17								1	-10	0	0	0	220	80	55		60		21	0	1462	185349		303	mac	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20	1	3	1	3	20					20					20					20					20	1	2	1	2	20					20					20	1	2	1	1	20			2	2	0	xxx	xxx	1	0	300
Spiked Club	club		spc	clb	spc	0		3	1	5	8								1		0	0	0	200	100			60		4	0	206	16200			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1		1		1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			2	2	0	mac	mst	1	0	300
Mace	mace		mac	mac	mac	0		4	1	3	10										0	0	0	220	80	27		60		8	0	370	30612			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3		1		1	5	1	1	1	1	5					5		1		1	20					20					20					20					20					20	1	2	1	1	20					20					20					20					20					20					20					20			2	2	0	mst	mau	1	0	300
Morning Star	mace		mst	mac	mst	0		4	1	7	16								1	10	0	0	0	200	100	36		60		13	0	612	59916			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	fla	1	0	300
Flail	mace		fla	fla	fla	0		4	1	1	24								2	-10	0	0	0	180	120	41	35	60		19	0	950	116484			mac	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	1	20					20					20	1	1	1	1	20					20					20					20					20					20			1	1	20					20					20					20					20			2	2	0	xxx	gma	1	0	300
War Hammer	hamm		whm	whm	whm	0		4	1	19	29									20	0	0	0	240	60	53		60		25	0	1328	201075			mac	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					5					5					5					20					20					20	1	1		1	20					20					20					20					20					20	1	1	1	1	20					20					20					20					20			2	2	0	mau	gma	1	0	300
Maul	hamm		mau	mau	mau	0		4	1				1	30	43				1	10	0	0	0	260	40	69		60		21	0	1098	144210			mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20	1	1	1	1	20					20					20					20					20			2	2	0	xxx	mau	1	0	300
Great Maul	hamm		gma	mau	gma	0		3	1				1	38	58				2	20	0	0	0	275	25	99		60		32	0	1942	364140			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20	1	1	1	1	20					20			1	1	20					20					20			2	2	0	xxx	xxx	1	0	300
Short Sword	swor		ssd	ssd	ssd	0		3	1	2	7										0	0	0	200	100			60		1	0	88	9216			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			1	2	0	scm	wsd	1	0	300
Scimitar	swor		scm	scm	scm	0		3	1	2	6									-20	0	0	0	180	120		21	60		5	0	240	19110			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					5		1		1	20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			1	2	0	sbr	lsd	1	0	300
Saber	swor		sbr	scm	sbr	0		3	1	3	8									-10	0	0	0	190	110	25	25	60		8	0	372	30684			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					5					5		1		1	20					20					20					20					20					20	1	1	1	1	20					20					20					20					20					20					20					20			1	2	0	flc	bsd	1	0	300
Falchion	swor		flc	flc	flc	0		4	1	9	17									20	0	0	0	220	80	33		60		11	0	512	46539			scm	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1		1	20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			1	2	0	bsd	wsd	1	0	300
Crystal Sword	swor		crs	crs	crs	0		2	1	5	15								1		0	0	0	200	100	43		60	1	11	0	1354	94191			ssd	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					5					5					5					20					20				1	20					20					20				1	20					20					20					20					20			1	1	20			1	1	20					20					20			1	8	0	xxx	xxx	1	0	300
Broad Sword	swor		bsd	bsd	bsd	0		4	1	7	14										0	0	0	220	80	48		60		15	0	724	76305			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	2	20					20					20			1	1	20					20					20					20	1	1	1	1	20					20					20					20					20					20					20			1	2	0	lsd	wsd	1	0	300
Long Sword 	swor		lsd	lsd	lsd	0		4	1	3	19								1	-10	0	0	0	200	100	55	39	60		20	0	1012	128700			ssd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5			1	2	20					20					20	1	1	1	2	20					20					20					20					20					20	1	1	1	2	20					20					20					20					20			1	2	0	wsd	wsd	1	0	300
War Sword	swor		wsd	flc	wsd	0		4	1	8	20								1		0	0	0	210	90	71	45	60		27	0	1282	209757			ssd	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20	1	2	1	3	20					20	1	1	1	3	20					20			1	2	20			1	2	0	xxx	xxx	1	0	300
Two-Handed Sword	swor		2hs	clm	2hs	0		4	1	1	17	1	1	8	17				2		0	0	0	210	90	35	27	60		10	0	486	41820			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			1	2	0	clm	gis	1	0	300
Claymore	swor		clm	clm	clm	0		4	1	1	30	1	1	13	30				2	10	0	0	0	240	60	47		60		17	0	862	97362			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	2	20					20					20					20					20					20					20	1	1	1	1	20					20					20					20					20					20					20			1	2	0	gis	bsw	1	0	300
Giant Sword	swor		gis	gsd	gis	0		4	1	1	28	1	1	9	28				2		0	0	0	210	90	56	34	60		21	0	976	130917			clm	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5		1	1	2	20					20					20	1	1	1	1	20					20					20					20					20					20					20					20					20					20					20			1	2	0	bsw	flb	1	0	300
Bastard Sword	swor		bsw	clm	bsw	0		4	1	1	28	1	1	20	28				1	10	0	0	0	240	60	62		60		24	0	1266	185412			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20		1	1	1	20					20		1	1	1	20					20					20			1	2	0	xxx	xxx	1	0	300
Flamberge	swor		flb	clm	flb	0		4	1	1	26	1	1	13	26				2	-10	0	0	0	190	110	70	49	60		27	0	1504	242400			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20		1	1	1	20					20					20					20					20					20	1	1	1	2	20					20		1	1	2	20					20					20			1	2	0	xxx	xxx	1	0	300
Great Sword	swor		gsd	gsd	gsd	0		4	1	1	42	1	1	25	42				2	10	0	0	0	200	100	100	60	60		33	0	2066	398649			clm	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20					20					20					20					20					20					20	1	1	1	3	20					20		1	1	2	20					20					20			1	2	0	xxx	xxx	1	0	300
Dagger	knif		dgr	dgr	dgr	0		2	1	1	4									-20	0	0	0	110	190			60		3	0	78	12540		305	dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			1	2	0	kri	bld	1	0	300
Dirk	knif		dir	dir	dir	0		2	1	3	9										0	0	0	110	190		25	60		9	0	416	35364		305	dgr	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3		1		1	5					5					5	1	1	1	1	20					20					20					20					20					20	1	1	1	1	20	1	1	1	1	20					20					20					20					20					20					20			1	2	0	kri	bld	1	0	300
Kriss	knif		kri	dir	kri	0		2	1	2	11									-20	0	0	0	110	190		45	60		17	0	842	95577		305	dgr	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	1	20					20					20	1	1		1	20					20					20					20					20					20			1	2	20			1	1	20					20					20			1	1	20			1	2	0	xxx	xxx	1	0	300
Blade	knif		bld	dgr	bld	0		3	1	4	15									-10	0	0	0	110	190	35	51	60		23	0	1150	163716		305	dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20			1	2	20	1	1	1	1	20					20					20	1	1	1	1	20			1	2	0	xxx	xxx	1	0	300
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1	2	3					4	9				0	0	0	80	200		21	60		2	0	10	10536		314	dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	120	400	150	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			5	1	2			5					5					20					20					20					20					20					20	2	2			20					20					20					20					20					20					20			1	1	20			1	2	0	bkf	bkf	1	0	280
Throwing Axe	taxe		tax	hax	tax	0		2	1	4	7					8	12			10	0	0	0	80	200		40	60		7	0	10	18231		314	hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	48	325	64	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			5	1	2			5					5	1	1			20					20					20					20					20					20	2	2			20					20					20					20					20					20					20			1	1	20			2	2	0	bal	bal	1	0	280
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1	1	8					6	11			-20	0	0	0	80	200		51	60		13	0	10	27585		314	dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	90	400	120	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					5					5					5	1	1	1	1	20					20					20					20					20					20					20	1	2			20					20	1	2	1	2	20					20					20					20			1	1	20			1	2	0	xxx	xxx	1	0	280
Balanced Axe	taxe		bal	hax	bal	0		2	1	5	10					12	15			-10	0	0	0	80	200		57	60		16	0	10	33180		314	hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	48	325	48	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					5					5					5	1	1	1	1	20					20					20					20					20					20					20	1	2			20					20	1	2	1	2	20					20					20					20	1	1	1	1	20			2	2	0	xxx	xxx	1	0	280
Javelin	jave		jav	jav	jav	0		4	1	1	5					6	14	15	2	-10	0	0	0	130	150			60		1	0	10	9015		314	jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	90	150	120	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			5	1	2			5					5					20					20					20					20					20					20	1	2			20	1	1			20					20					20	1	1			20					20			1	1	20	1	1	1	1	20			5	8	0	glv	glv	1	0	280
Pilum	jave		pil	pil	pil	0		4	1	4	9					7	20	15	2		0	0	0	130	150		45	60		10	0	10	23040		314	jav	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	75	125	100	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					5	1	1			5					5	1	1			20					20					20					20					20					20	1	2			20	1	1			20					20	1	1	1	2	20	1	1			20					20			1	1	20	1	1	1	1	20			5	8	0	tsp	tsp	1	0	280
Short Spear	jave		ssp	jav	ssp	0		4	1	2	13					10	22	15	2	10	0	0	0	130	150	40	40	60		15	0	10	31080		314	jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	60	100	80	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					5			1	2	5					5	1	1	1	1	20					20					20					20					20					20					20	1	1			20					20					20	1	1			20					20			1	1	20	1	1	1	1	20			5	8	0	tsp	tsp	1	0	280
Glaive	jave		glv	glv	glv	0		4	1	5	17					16	22	15	2	20	0	0	0	130	150	52	35	60		23	0	10	44484		314	jav	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	45	100	80	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					5					5					5			2	2	20					20					20					20					20					20					20	1	1			20					20					20	1	1			20					20			1	1	20	1	1	1	1	20			1	2	0	xxx	xxx	1	0	280
