description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Warped ring flightning attack	1			100					5	ring,tmp	gpy	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-ltng			2	2																																																																										0
Warped ring poison defense	1			100					4	ring,tmp	gpg	randrune	jew				useitem				levelreq			1	1	res-pois			4	4																																																																										0
Warped ring poison attack	1			100					5	ring,tmp	gpg	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-pois			2	2																																																																										0
Warped ring life mana steal	1			100					4	ring,tmp	skz	randrune	jew				useitem				levelreq			1	1	lifesteal			4	4	manasteal			2	2																																																																					0
Warped ring physic damage	1			100					4	ring,tmp	gpv	randrune	jew				useitem				levelreq			1	1	dmg-min			2	2	dmg-max			8	8																																																																					0
Warped ring magic damage	1			100					4	ring,tmp	gpw	randrune	jew				useitem				levelreq			1	1	dmg-mag			10	10																																																																										0
Warped ring demon undead	1			100					4	ring,tmp	r21	randrune	jew				useitem				levelreq			1	1	dmg-undead			4	4	dmg-demon			4	4																																																																					0
Warped ring hp and mana	1			100					4	ring,tmp	rvl	randrune	jew				useitem				levelreq			1	1	hp			20	20	mana			10	10																																																																					0
Warped ring mag and gold find	1			100					4	ring,tmp	r20	randrune	jew				useitem				levelreq			1	1	mag%			4	4	gold%			6	6																																																																					0
Warped ring expirience	1			100					4	ring,tmp	r22	randrune	jew				useitem				levelreq			2	2	addxp			2	2																																																																										0
Warped ring levelreq reduce	1			100					4	ring,tmp	r33	randrune	jew				useitem				levelreq			-50	-50																																																																															0
Warped amulet cold defense	1			100					4	amu,tmp	gpb	randrune	jew				useitem				levelreq			1	1	res-cold			4	4																																																																										0
Warped amulet cold attack	1			100					5	amu,tmp	gpb	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-cold			2	2																																																																										0
Warped amulet fire defense	1			100					4	amu,tmp	gpr	randrune	jew				useitem				levelreq			1	1	res-fire			4	4																																																																										0
Warped amulet fire attack	1			100					5	amu,tmp	gpr	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-fire			2	2																																																																										0
Warped amulet lightning defense	1			100					4	amu,tmp	gpy	randrune	jew				useitem				levelreq			1	1	res-ltng			4	4																																																																										0
Warped amulet flightning attack	1			100					5	amu,tmp	gpy	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-ltng			2	2																																																																										0
Warped amulet poison defense	1			100					4	amu,tmp	gpg	randrune	jew				useitem				levelreq			1	1	res-pois			4	4																																																																										0
Warped amulet poison attack	1			100					5	amu,tmp	gpg	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-pois			2	2																																																																										0
Warped amulet life mana steal	1			100					4	amu,tmp	skz	randrune	jew				useitem				levelreq			1	1	lifesteal			4	4	manasteal			2	2																																																																					0
Warped amulet physic damage	1			100					4	amu,tmp	gpv	randrune	jew				useitem				levelreq			1	1	dmg-min			10	10	dmg-max			10	10																																																																					0
Warped amulet magic damage	1			100					4	amu,tmp	gpw	randrune	jew				useitem				levelreq			1	1	dmg-mag			10	10																																																																										0
Warped amulet demon undead	1			100					4	amu,tmp	r21	randrune	jew				useitem				levelreq			1	1	dmg-undead			4	4	dmg-demon			4	4																																																																					0
Warped amulet hp and mana	1			100					4	amu,tmp	rvl	randrune	jew				useitem				levelreq			1	1	hp			20	20	mana			10	10																																																																					0
Warped amulet mag and gold find	1			100					4	amu,tmp	r20	randrune	jew				useitem				levelreq			1	1	mag%			4	4	gold%			6	6																																																																					0
Warped amulet expirience	1			100					4	amu,tmp	r22	randrune	jew				useitem				levelreq			1	1	addxp			2	2																																																																										0
Warped amulet levelreq reduce	1			100					4	amu,tmp	r33	randrune	jew				useitem				levelreq			-50	-50																																																																															0
tp scroll + id scroll = tp book	0			100					2	tsc	isc						tbk																																																																																							0
rejuv	1			100					3	hp5	mp5	jew					rvs																													rvs																													rvs																													0
small rejuv + thaw -> 3 large rejuvs	1			100					2	rvs	wms						rvl																													rvl																													rvl																													0
marr	1			100					2	marr	key						useitem				rep-quant			63	63																																																																															0
mbol	1			100					2	mbol	key						useitem				rep-quant			63	63																																																																															0
any perf gem x3 + Jewel + Csaphire = Pspahire x3	1			100					5	gem4,qty=3	jew	gcb					gpb																													gpb																													gpb																													0
any perf gem x3  + Jewel + Cruby = Pruby x3	1			100					5	gem4,qty=3	jew	gcr					gpr																													gpr																													gpr																													0
any perf gem x3  + Jewel + Cdiamond = Pdiamond x3	1			100					5	gem4,qty=3	jew	gcw					gpw																													gpw																													gpw																													0
any perf gem x3 + Jewel + Camethyst = Pamethyst x3	1			100					5	gem4,qty=3	jew	gcv					gpv																													gpv																													gpv																													0
any perf gem x3  + Jewel + Cemerald = Pemerald x3	1			100					5	gem4,qty=3	jew	gcg					gpg																													gpg																													gpg																													0
any perf gem x3  + Jewel + Ctopaz = Ptopaz x3	1			100					5	gem4,qty=3	jew	gcy					gpy																													gpy																													gpy																													0
any perf gem x3  + Jewel + Cskull = Pskull x3	1			100					5	gem4,qty=3	jew	skc					skz																													skz																													skz																													0
3 chipped amethysts -> flawed amethyst	1			100					3	gcv,qty=3							gfv																																																																																							0
3 flawed amethysts -> standard amethyst	1			100					3	gfv,qty=3							gsv																																																																																							0
3 standard amethysts -> flawless amethyst	1			100					3	gsv,qty=3							gzv																																																																																							0
3 flawless amethysts -> perfect amethyst	1			100					3	gzv,qty=3							gpv																																																																																							0
3 chipped rubies -> flawed ruby	1			100					3	gcr,qty=3							gfr																																																																																							0
3 flawed rubies -> standard ruby	1			100					3	gfr,qty=3							gsr																																																																																							0
3 standard rubies -> flawless ruby	1			100					3	gsr,qty=3							glr																																																																																							0
3 flawless rubies -> perfect ruby	1			100					3	glr,qty=3							gpr																																																																																							0
3 chipped sapphires -> flawed sapphire	1			100					3	gcb,qty=3							gfb																																																																																							0
3 flawed sapphires -> standard sapphire	1			100					3	gfb,qty=3							gsb																																																																																							0
3 standard sapphires -> flawless sapphire	1			100					3	gsb,qty=3							glb																																																																																							0
3 flawless sapphires -> perfect sapphire	1			100					3	glb,qty=3							gpb																																																																																							0
3 chipped topazes -> flawed topaz	1			100					3	gcy,qty=3							gfy																																																																																							0
3 flawed topazes -> standard topaz	1			100					3	gfy,qty=3							gsy																																																																																							0
3 standard topazes -> flawless topaz	1			100					3	gsy,qty=3							gly																																																																																							0
3 flawless topazes -> perfect topaz	1			100					3	gly,qty=3							gpy																																																																																							0
3 chipped emeralds -> flawed emerald	1			100					3	gcg,qty=3							gfg																																																																																							0
3 flawed emeralds -> standard emerald	1			100					3	gfg,qty=3							gsg																																																																																							0
3 standard emeralds -> flawless emerald	1			100					3	gsg,qty=3							glg																																																																																							0
3 flawless emeralds -> perfect emerald	1			100					3	glg,qty=3							gpg																																																																																							0
3 chipped diamonds -> flawed diamond	1			100					3	gcw,qty=3							gfw																																																																																							0
3 flawed diamonds -> standard diamond	1			100					3	gfw,qty=3							gsw																																																																																							0
3 standard diamonds -> flawless diamond	1			100					3	gsw,qty=3							glw																																																																																							0
3 flawless diamonds -> perfect diamond	1			100					3	glw,qty=3							gpw																																																																																							0
3 chipped skulls -> flawed skull	1			100					3	skc,qty=3							skf																																																																																							0
3 flawed skulls -> standard skull	1			100					3	skf,qty=3							sku																																																																																							0
3 standard skulls -> flawless skull	1			100					3	sku,qty=3							skl																																																																																							0
3 flawless skulls -> perfect skull	1			100					3	skl,qty=3							skz																																																																																							0
3 rune 01 -> rune 02	1			100					5	r01,qty=5							r02																																																																																							0
3 rune 02 -> rune 03	1			100					5	r02,qty=5							r03																																																																																							0
3 rune 03 -> rune 04	1			100					5	r03,qty=5							r04																																																																																							0
3 rune 04 -> rune 05	1			100					5	r04,qty=5							r05																																																																																							0
3 rune 05 -> rune 06	1			100					5	r05,qty=5							r06																																																																																							0
3 rune 06 -> rune 07	1			100					5	r06,qty=5							r07																																																																																							0
3 rune 07 -> rune 08	1			100					5	r07,qty=5							r08																																																																																							0
3 rune 08 -> rune 09	1			100					5	r08,qty=5							r09																																																																																							0
3 rune 09 -> rune 10	1			100					5	r09,qty=5							r10																																																																																							0
3 rune 10 -> rune 11	1			100					5	r10,qty=5							r11																																																																																							0
3 rune 11 -> rune 12	1			100					5	r11,qty=5							r12																																																																																							0
3 rune 12 -> rune 13	1			100					5	r12,qty=5							r13																																																																																							0
3 rune 13 -> rune 14	1			100					5	r13,qty=5							r14																																																																																							0
3 rune 14 -> rune 15	1			100					5	r14,qty=5							r15																																																																																							0
3 rune 15 -> rune 16	1			100					5	r15,qty=5							r16																																																																																							0
3 rune 16 -> rune 17	1			100					5	r16,qty=5							r17																																																																																							0
3 rune 17 -> rune 18	1			100					5	r17,qty=5							r18																																																																																							0
3 rune 18 -> rune 19	1			100					5	r18,qty=5							r19																																																																																							0
3 rune 19 -> rune 20	1			100					5	r19,qty=5							r20																																																																																							0
3 rune 20 -> rune 21	1			100					5	r20,qty=5							r21																																																																																							0
2 rune 21 -> rune 22	1			100					5	r21,qty=5							r22																																																																																							0
2 rune 22 -> rune 23	1			100					5	r22,qty=5							r23																																																																																							0
2 rune 23 -> rune 24	1			100					5	r23,qty=5							r24																																																																																							0
2 rune 24 -> rune 25	1			100					5	r24,qty=5							r25																																																																																							0
2 rune 25 -> rune 26	1			100					5	r25,qty=5							r26																																																																																							0
2 rune 26 -> rune 27	1			100					5	r26,qty=5							r27																																																																																							0
2 rune 27 -> rune 28	1			100					5	r27,qty=5							r28																																																																																							0
2 rune 28 -> rune 29	1			100					5	r28,qty=5							r29																																																																																							0
2 rune 29 -> rune 30	1			100					5	r29,qty=5							r30																																																																																							0
2 rune 30 -> rune 31	1			100					5	r30,qty=5							r31																																																																																							0
2 rune 31 -> rune 32	1			100					5	r31,qty=5							r32																																																																																							0
2 rune 32 -> rune 33	1			100					5	r32,qty=5							r33																																																																																							0
Socketing 1	1			100					4	weap	skz,qty=1	jew	key				useitem				sock			1	1																																																																															0
Socketing 1	1			100					4	armo	skz,qty=1	jew	key				useitem				sock			1	1																																																																															0
Socketing 2	1			100					5	weap	skz,qty=2	jew	key				useitem				sock			2	2																																																																															0
Socketing 2	1			100					5	armo	skz,qty=2	jew	key				useitem				sock			2	2																																																																															0
Socketing 3	1			100					6	weap	skz,qty=3	jew	key				useitem				sock			3	3																																																																															0
Socketing 3	1			100					6	armo	skz,qty=3	jew	key				useitem				sock			3	3																																																																															0
Socketing 4	1			100					7	weap	skz,qty=4	jew	key				useitem				sock			4	4																																																																															0
Socketing 4	1			100					7	armo	skz,qty=4	jew	key				useitem				sock			4	4																																																																															0
Socketing 5	1			100					8	weap	skz,qty=5	jew	key				useitem				sock			5	5																																																																															0
Socketing 5	1			100					8	armo	skz,qty=5	jew	key				useitem				sock			5	5																																																																															0
Socketing 6	1			100					9	weap	skz,qty=6	jew	key				useitem				sock			6	6																																																																															0
Socketing 6	1			100					9	armo	skz,qty=6	jew	key				useitem				sock			6	6																																																																															0
Socketing Ring	1			100					4	ring	skz	jew	key				useitem				sock			1	1																																																																															0
Socketing Amu	1			100					4	amu	skz	jew	key				useitem				sock			1	1																																																																															0
all pgems + basic unique weapon -> exceptional unique weapon	0			100					2	weap,bas,uni	wms						useitem,mod,exc				levelreq			5	5																																																																															0
all pgems + basic unique armor -> exceptional unique armor	0			100					2	armo,bas,uni	wms						useitem,mod,exc				levelreq			5	5																																																																															0
all pgems +  exceptional unique weapon -> elite unique weapon	0			100					2	weap,exc,uni	wms						useitem,mod,eli				levelreq			7	7																																																																															0
all pgems +  exceptional unique armor -> elite unique armor	0			100					2	armo,exc,uni	wms						useitem,mod,eli				levelreq			7	7																																																																															0
all pgems +  basic rare weapon -> exceptional rare weapon	0			100					2	weap,bas,rar	wms						useitem,mod,exc				levelreq			5	5																																																																															0
all pgems +  basic rare armor -> exceptional rare armor	0			100					2	armo,bas,rar	wms						useitem,mod,exc				levelreq			5	5																																																																															0
all pgems +  exceptional rare weapon -> elite rare weapon	0			100					2	weap,exc,rar	wms						useitem,mod,eli				levelreq			7	7																																																																															0
all pgems + exceptional rare armor -> elite rare armor	0			100					2	armo,exc,rar	wms						useitem,mod,eli				levelreq			7	7																																																																															0
all pgems +  basic set weapon -> exceptional set weapon	0			100					2	weap,bas,set	wms						useitem,mod,exc				levelreq			5	5																																																																															0
all pgems +  basic set armor -> exceptional set armor	0			100					2	armo,bas,set	wms						useitem,mod,exc				levelreq			5	5																																																																															0
all pgems +  exceptional set weapon -> elite set weapon	0			100					2	weap,exc,set	wms						useitem,mod,eli				levelreq			7	7																																																																															0
all pgems + exceptional set armor -> elite set armor	0			100					2	armo,exc,set	wms						useitem,mod,eli				levelreq			7	7																																																																															0
pskull + any socketed item -> unsocket (destroy gems)	1			100					3	any,sock	skz	key					useitem,uns																																																																																							0
Disenchant Rare	0			100					6	any,rar	gem4,qty=2	vps,qty=3					jew			100																																																																																				0
Disenchant Craft	1			100					3	any,crf	gem4,qty=1	vps,qty=1					jew			100																										jew			100																										jew			100																										0
Disenchant Magic	0			100					6	any,mag	gem4,qty=2	vps,qty=3					jew			100																																																																																				0
Disenchant Sets	1			100					3	any,set	gem4,qty=1	vps,qty=1					jew			100																										jew			100																																																							0
Disenchant Uniq	1			100					3	any,uni	gem4,qty=1	vps,qty=1					jew			100																																																																																				0
Disenchant Socketed	0			100					6	any,sock	gem4,qty=2	vps,qty=3					jew			100																																																																																				0
Disenchant Tmp	1			100					3	any,tmp	gem4,qty=1	vps,qty=1					jew			100																										jew			100																										jew			100																										0
Unassemble mag	0			100					2	any,mag	vps						gem0			100																																																																																				0
Unassemble rare	0			100					2	any,rar	vps						gem0			100																										gem0			100																																																							0
Etheralisation Normal	0			100					3	weap	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Etheralisation Normal	0			100					3	armo	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Etheralisation Rare	1			100					3	any,rar	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Etheralisation Crafted	1			100					3	any,crf	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Etheralisation Magic	1			100					3	any,mag	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Etheralisation Uniq	1			100					3	any,uni	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Etheralisation Socketed	1			100					3	any,sock	r33,qty=1	jew					useitem				ethereal			1	1																																																																															0
Allskills Normal	1			100					5	weap	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Normal	1			100					5	armo	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Rare	1			100					5	any,rar	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Crafted	1			100					5	any,crf	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Magic	1			100					5	any,mag	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Socketed	1			100					5	any,sock	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Uni	1			100					5	any,uni	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Set	1			100					5	any,set	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Allskills  Warped	1			100					5	any,tmp	r33,qty=3	jew					useitem				allskills			1	1																																																																															0
Self Repair Normal	0			100					4	weap	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Normal	0			100					4	armo	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Rare	1			100					4	any,rar	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Crafted	0			100					4	any,crf	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Magic	1			100					4	any,mag	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Socketed	1			100					4	any,sock	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Uni	1			100					4	any,uni	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
Self Repair Set	1			100					4	any,set	r33,qty=2	jew					useitem				rep-dur		63																																																																																	0
3 chipped amethysts -> flawed amethyst	1			100					2	gfv	vps						gcv																													gcv																													gcv																													0
3 flawed amethysts -> standard amethyst	1			100					2	gsv	vps						gfv																													gcv																													gcv																													0
3 standard amethysts -> flawless amethyst	1			100					2	gzv	vps						gsv																													gcv																													gcv																													0
3 flawless amethysts -> perfect amethyst	1			100					2	gpv	vps						gzv																													gcv																													gcv																													0
3 chipped rubies -> flawed ruby	1			100					2	gfr	vps						gcr																													gcr																													gcr																													0
3 flawed rubies -> standard ruby	1			100					2	gsr	vps						gfr																													gcr																													gcr																													0
3 standard rubies -> flawless ruby	1			100					2	glr	vps						gsr																													gcr																													gcr																													0
3 flawless rubies -> perfect ruby	1			100					2	gpr	vps						glr																													gcr																													gcr																													0
3 chipped sapphires -> flawed sapphire	1			100					2	gfb	vps						gcb																													gcb																													gcb																													0
3 flawed sapphires -> standard sapphire	1			100					2	gsb	vps						gfb																													gcb																													gcb																													0
3 standard sapphires -> flawless sapphire	1			100					2	glb	vps						gsb																													gcb																													gcb																													0
3 flawless sapphires -> perfect sapphire	1			100					2	gpb	vps						glb																													gcb																													gcb																													0
3 chipped topazes -> flawed topaz	1			100					2	gfy	vps						gcy																													gcy																													gcy																													0
3 flawed topazes -> standard topaz	1			100					2	gsy	vps						gfy																													gcy																													gcy																													0
3 standard topazes -> flawless topaz	1			100					2	gly	vps						gsy																													gcy																													gcy																													0
3 flawless topazes -> perfect topaz	1			100					2	gpy	vps						gly																													gcy																													gcy																													0
3 chipped emeralds -> flawed emerald	1			100					2	gfg	vps						gcg																													gcg																													gcg																													0
3 flawed emeralds -> standard emerald	1			100					2	gsg	vps						gfg																													gcg																													gcg																													0
3 standard emeralds -> flawless emerald	1			100					2	glg	vps						gsg																													gcg																													gcg																													0
3 flawless emeralds -> perfect emerald	1			100					2	gpg	vps						glg																													gcg																													gcg																													0
3 chipped diamonds -> flawed diamond	1			100					2	gfw	vps						gcw																													gcw																													gcw																													0
3 flawed diamonds -> standard diamond	1			100					2	gsw	vps						gfw																													gcw																													gcw																													0
3 standard diamonds -> flawless diamond	1			100					2	glw	vps						gsw																													gcw																													gcw																													0
3 flawless diamonds -> perfect diamond	1			100					2	gpw	vps						glw																													gcw																													gcw																													0
3 chipped skulls -> flawed skull	1			100					2	skf	vps						skc																													skc																													skc																													0
3 flawed skulls -> standard skull	1			100					2	sku	vps						skf																													skc																													skc																													0
3 standard skulls -> flawless skull	1			100					2	skl	vps						sku																													skc																													skc																													0
3 flawless skulls -> perfect skull	1			100					2	skz	vps						skl																													skc																													skc																													0
UniJew	1			100					4	jew,qty=4							jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet1	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet2	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet3	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet4	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet5	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet6	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Rainbow Facet7	jew						jew,uni	72																																																																																						0
UniJew	1			100					2	Afterlife	jew						jew,uni	72																																																																																						0
RuneDowng1	1			100					2	r33	vps						r32																																																																																							0
RuneDowng2	1			100					2	r32	vps						r31																																																																																							0
RuneDowng3	1			100					2	r31	vps						r30																																																																																							0
RuneDowng4	1			100					2	r30	vps						r29																																																																																							0
RuneDowng5	1			100					2	r29	vps						r28																																																																																							0
RuneDowng6	1			100					2	r28	vps						r27																																																																																							0
RuneDowng7	1			100					2	r27	vps						r26																																																																																							0
RuneDowng8	1			100					2	r26	vps						r25																													r25																																																										0
RuneDowng9	1			100					2	r25	vps						r24																													r24																																																										0
RuneDowng10	1			100					2	r24	vps						r23																													r23																																																										0
RuneDowng11	1			100					2	r23	vps						r22																													r22																																																										0
RuneDowng12	1			100					2	r22	vps						r21																													r21																																																										0
RuneDowng13	1			100					2	r21	vps						r20																													r20																																																										0
RuneDowng14	1			100					2	r20	vps						r19																													r19																																																										0
RuneDowng15	1			100					2	r19	vps						r18																													r18																																																										0
RuneDowng16	1			100					2	r18	vps						r17																													r17																																																										0
RuneDowng17	1			100					2	r17	vps						r16																													r16																																																										0
RuneDowng18	1			100					2	r16	vps						r15																													r15																																																										0
RuneDowng19	1			100					2	r15	vps						r14																													r14																													r14																													0
RuneDowng20	1			100					2	r14	vps						r13																													r13																													r13																													0
RuneDowng21	1			100					2	r13	vps						r12																													r12																													r12																													0
RuneDowng22	1			100					2	r12	vps						r11																													r11																													r11																													0
RuneDowng23	1			100					2	r11	vps						r10																													r10																													r10																													0
RuneDowng24	1			100					2	r10	vps						r09																													r9																													r9																													0
RuneDowng25	1			100					2	r09	vps						r08																													r8																													r8																													0
RuneDowng26	1			100					2	r08	vps						r07																													r7																													r7																													0
RuneDowng27	1			100					2	r07	vps						r06																													r6																													r6																													0
RuneDowng28	1			100					2	r06	vps						r05																													r5																													r5																													0
RuneDowng29	1			100					2	r05	vps						r04																													r4																													r4																													0
RuneDowng30	1			100					2	r04	vps						r03																													r3																													r3																													0
RuneDowng31	1			100					2	r03	vps						r02																													r2																													r2																													0
RuneDowng32	1			100					2	r02	vps						r01																													r1																													r1																													0
Ormus Robe	1			100					2	Ormus' Robes	jew						Ormus' Robes	99																																																																																						0
Reroll clas low	1			100					2	clas,low	jew						usetype,nor	99																																																																																						0
Reroll circ low	1			100					2	circ,low	jew						usetype,nor	99																																																																																						0
Reroll clas nor	1			100					2	clas,nor	jew						usetype,nor	99																																																																																						0
Reroll circ nor	1			100					2	circ,nor	jew						usetype,nor	99																																																																																						0
Reroll clas hi	1			100					2	clas,hi	jew						usetype,nor	99																																																																																						0
Reroll circ hi	1			100					2	circ,hi	jew						usetype,nor	99																																																																																						0
reroll ring mag	1			100					2	rin,mag,qty=2							rin,mag		85																																																																																					0
reroll amu mag	1			100					2	amu,mag,qty=2							amu,mag		85																																																																																					0
reroll ring rare	1			100					2	rin,rar,qty=2							rin,rar		85																																																																																					0
reroll amu rare	1			100					2	amu,rar,qty=2							amu,rar		85																																																																																					0
reroll small charm mag	1			100					2	cm1,mag,qty=2							cm1,mag		85																																																																																					0
reroll big charm mag	1			100					2	cm2,mag,qty=2							cm2,mag		85																																																																																					0
reroll grand charm mag	1			100					2	cm3,mag,qty=2							cm3,mag		85																																																																																					0
reroll small charm rare	1			100					2	cm1,rar,qty=2							cm1,rar		85																																																																																					0
reroll big charm rare	1			100					2	cm2,rar,qty=2							cm2,rar		85																																																																																					0
reroll grand charm rare	1			100					2	cm3,rar,qty=2							cm3,rar		85																																																																																					0
mag ring to rare	1			100					3	rin,mag,qty=3							rin,rar		85																																																																																					0
mag amu to rare	1			100					3	amu,mag,qty=3							amu,rar		85																																																																																					0
small charm mag to rare	1			100					3	cm1,mag,qty=3							cm1,rar		85																																																																																					0
big charm mag to rare	1			100					3	cm2,mag,qty=3							cm2,rar		85																																																																																					0
grand charm mag to rare	1			100					3	cm3,mag,qty=3							cm3,rar		85																																																																																					0
UNUSED	0			100																																																																																																				0
DOUBTFUL	0			100																																																																																																				0
Counter	0			100					1	hpot							Counter	200	200	200																																																																																				0
Barb Soul	0			100					1	mpot							Barb Soul	1	1	1																																																																																				0
3 chipped gems + 1 magic weapon -> socketed, magic weapon	0			100					4	weap,mag	gem0,qty=3						usetype,mag	25		50	sock			1	1																																																																															0
3 perfect gems + 1 magic item -> magic item	0			100					4	any,mag	gem4,qty=3						usetype,mag			100																																																																																				0
