name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Studded Leather 	0	0	4	1	32	35	0	0	27	0	30	0	8	0	722	33810	stu	stu		313	stu	stu	stu	xtu	utu	0	1	2	3	1	6	1	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	rng	ltp	0	0	1
Ring Mail	0	0	4	1	45	48	0	0	36	0	30	0	11	0	1232	60528	rng	rng		313	rng	rng	rng	xng	ung	0	1	2	3	1	6	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3		1		1	5					5					5	1	1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	scl	chn	0	0	1
Scale Mail	0	0	4	1	57	60	0	0	44	0	30	0	13	0	1724	90456	scl	scl		313	scl	scl	scl	xcl	ucl	0	1	2	3	1	6	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5	1	1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	chn	brs	0	0	1
Chain Mail	0	0	4	1	72	75	0	0	48	0	30	0	15	0	2374	135300	chn	chn		313	chn	chn	chn	xhn	uhn	0	1	2	3	1	6	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5	1	1		1	20					20					20		1		1	20					20					20					20					20					20					20					20					20					20					20			7	8	0	brs	spl	0	0	1
Breast Plate	0	0	4	1	65	68	0	0	30	0	30	0	18	0	2534	170556	brs	brs		313	brs	brs	brs	xrs	urs	0	1	2	3	1	6	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5		1		1	20					20					20	1	1		1	20					20					20					20					20					20					20					20					20					20					20			7	8	0	spl	plt	0	0	1
Splint Mail	0	0	4	1	90	95	0	0	51	0	30	0	20	0	3710	269832	spl	spl		313	spl	spl	spl	xpl	upl	0	1	2	3	1	6	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5		1			20					20					20	1	1	1	1	20					20					20					20					20					20					20					20			1	1	20					20					20			7	8	0	plt	fld	0	0	1
Plate Mail	0	0	4	1	108	116	0	0	65	0	30	0	24	0	5140	445530	plt	plt		313	plt	plt	plt	xlt	ult	0	1	2	3	1	6	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5					20					20					20	1	1		1	20					20					20					20					20					20			1	1	20					20			1	1	20					20					20			8	8	0	fld	xxx	0	0	1
Field Plate	0	0	4	1	101	105	0	0	55	0	30	0	28	0	5450	550164	fld	fld		313	fld	fld	fld	xld	uld	0	1	2	3	1	6	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5					20					20					20		1			20					20					20					20					20					20	1	1	1	1	20					20			1	2	20					20					20			8	8	0	gth	ful	0	0	1
Gothic Plate	0	0	4	1	128	135	0	0	70	0	30	0	32	0	7618	887004	gth	gth		313	gth	gth	gth	xth	uth	0	1	2	3	1	6	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5					20					20					20					20					20				1	20					20					20					20	1	1	1	1	20					20	1	1	1	2	20					20					20			8	8	0	ful	xxx	0	0	1
Full Plate Mail	0	0	4	1	150	161	0	0	80	0	30	0	37	0	10058	1372578	ful	ful		313	ful	ful	ful	xul	uul	0	1	2	3	1	6	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20			1	1	20					20	1	1	1	2	20					20					20			8	8	0	aar	xxx	0	0	1
Ancient Armor	0	0	4	1	218	233	0	0	100	0	30	0	40	0	15078	2283420	aar	aar		313	aar	aar	aar	xar	uar	0	1	2	3	1	6	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20			1	1	20					20	1	1	1	2	20					20					20			8	8	0	ltp	xxx	0	0	1
Light Plate	0	0	4	1	90	107	0	0	41	0	30	0	35	0	6358	803580	ltp	ltp		313	ltp	ltp	ltp	xtp	utp	0	1	2	3	1	6	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20			1	1	20					20			1	2	20					20					20			7	8	0	buc	xxx	0	0	1
Buckler	0	0	2	1	4	6	0	0	10	0	60	0	1	0	44	9048	buc	buc		318	buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	3	3	100		0	3	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			8	8	0	sml	tow	0	0	1
Small Shield	0	0	3	1	8	10	0	0	22	5	60	0	5	0	166	16536	sml	sml		318	buc	buc	sml	xml	uml	0	7	2	2	1	4	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	3	3	100		0	3	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			8	5	0	lrg	kit	0	0	1
Large Shield	0	0	4	1	12	14	0	0	34	12	60	0	11	0	406	34014	lrg	lrg		318	lrg	buc	lrg	xrg	urg	0	7	2	3	1	6	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	4	4	100		0	3		1		1	5					5					5	1	1	1	1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			8	2	0	kit	tow	0	0	1
Kite Shield	0	0	4	1	16	18	0	0	47	8	60	0	15	0	656	53952	kit	kit		318	kit	buc	kit	xit	uit	0	7	2	3	1	6	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	5	5	100		0	3					5					5					5	1	1		1	20					20					20	1	1	1	1	20					20					20					20					20					20					20					20					20					20					20			8	2	0	tow	gts	0	0	1
Tower Shield	0	0	4	1	22	25	0	0	75	24	60	0	22	0	1188	110604	tow	tow		318	tow	buc	tow	xow	uow	0	7	2	3	1	6	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	5	5	100		0	3					5					5					5		1			20					20					20	1	2	1	1	20					20					20					20					20					20	1	1	1	1	20					20	1	1	1	2	20					20					20			8	2	0	gts	xxx	0	0	1
Gothic Shield	0	0	4	1	30	35	0	0	60	16	60	0	30	0	2068	232500	gts	gts		318	kit	buc	gts	xts	uts	0	7	2	4	1	6	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	6	6	100		0	3					5					5					5					20					20					20		1			20					20					20					20					20					20	1	1	1	1	20					20			1	2	20					20					20			8	2	0	xxx	xxx	0	0	1
Gloves(L)	0	0	2	1	2	3	0	0	0	0	30	0	3	0	50	12180	lgl	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2	1	4	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	vgl	hgl	0	0	1
Heavy Gloves	0	0	2	1	5	6	0	0	0	0	30	0	7	0	148	19848	vgl	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2	1	4	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1		1		1	5					5					5		1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	mgl	tgl	0	0	1
Bracers(M)	0	0	2	1	8	9	0	0	25	0	30	0	12	0	304	33228	mgl	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2	1	4	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3		1			5					5					5	1	2	1	1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	tgl	hgl	0	0	1
Light Gauntlets	0	0	3	1	9	11	0	0	45	0	30	0	20	0	524	62028	tgl	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2	1	4	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					5					5					5		1		1	20					20					20					20					20					20					20					20					20			1	1	20					20			1	1	20					20					20			0	8	0	xxx	xxx	0	0	1
Gaunlets(H)	0	0	4	1	12	15	0	0	60	0	30	0	27	0	870	108024	hgl	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2	1	4	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20	1	1		1	20					20	1	1	1	1	20					20					20			0	8	0	xxx	xxx	0	0	1
Leather Boots	0	0	2	1	2	3	0	0	0	0	30	0	3	0	50	12180	lbt	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2	1	4	2	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	8	8	200	50	0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	vbt	tbt	0	0	1
Heavy Boots	0	0	2	1	5	6	0	0	18	0	30	0	7	0	142	19752	vbt	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2	1	4	2	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	10	10	200	50	0	1		1		1	5					5					5		1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	mbt	tbt	0	0	1
Chain Boots	0	0	2	1	8	9	0	0	30	0	30	0	12	0	302	33186	mbt	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2	1	4	2	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	12	12	200	50	0	3		1			5					5					5	1	2	1	1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	tbt	hbt	0	0	1
Light Plate Boots	0	0	3	1	9	11	0	0	50	0	30	0	20	0	522	61950	tbt	tbt			mbt	mbt	tbt	xtb	utb	0	16	2	2	1	4	2	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	16	16	200	50	0	3					5					5					5		1		1	20					20					20					20					20					20					20					20					20			1	1	20					20			1	1	20					20					20			0	8	0	xxx	xxx	0	0	1
Plate Boots	0	0	4	1	12	15	0	0	70	0	30	0	27	0	868	107820	hbt	hbt			hbt	hbt	hbt	xhb	uhb	0	16	2	2	1	4	2	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	20	20	200	50	0	3					5					5					5					20					20					20					20					20					20					20					20					20	1	1	1	1	20					20	1	1	1	1	20					20					20			0	8	0	xxx	xxx	0	0	1
Sash(L)	0	0	2	1	2	2	0	0	0	0	30	0	3	0	42	12144	lbl	lbl			lbl	lbl	lbl	zlb	ulc	0	16	2	1	1	2	1	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1	0	0	4	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	vbl	tbl	0	0	1
Light Belt	0	0	2	1	3	3	0	0	0	0	30	0	7	0	92	19008	vbl	vbl			vbl	vbl	vbl	zvb	uvc	0	16	2	1	1	2	1	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	4	0	0	4	0	0	0			0	1		1		1	5					5					5		1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	mbl	hbl	0	0	1
Belt(M)	0	0	2	1	5	5	0	0	25	0	30	0	12	0	194	29952	mbl	mbl			mbl	mbl	mbl	zmb	umc	0	16	2	1	1	2	1	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	0	0	0	4	0	0	0			0	1		1			5					5					5	1	2	1	1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	tbl	hbl	0	0	1
Heavy Belt	0	0	2	1	6	6	0	0	45	0	30	0	20	0	334	51948	tbl	tbl			mbl	mbl	tbl	ztb	utc	0	16	2	1	1	2	1	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	5	0	0	4	0	0	0			0	1					5					5					5		1		1	20					20					20					20					20					20					20					20					20			1	1	20					20					20					20					20			0	8	0	xxx	xxx	0	0	1
Girdle(H)	0	0	3	1	8	11	0	0	60	0	30	0	27	0	640	89880	hbl	hbl			hbl	hbl	hbl	zhb	uhc	0	16	2	1	1	2	1	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20	1	1	1	1	20					20	1	1	1	2	20					20					20			0	8	0	xxx	xxx	0	0	1
Bone Helm	0	0	2	1	33	36	0	0	25	0	30	0	22	0	1682	144828	bhm	bhm		309	bhm	hlm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					5					5					5					20					20	1				20					20					20				1	20					20					20					20					20					20					20					20					20			7	8	0	xxx	xxx	0	0	1
Bone Shield	0	0	2	1	10	30	0	0	25	20	60	0	19	0	924	81240	bsh	bsh		311	bsh	buc	bsh	xsh	ush	0	7	2	3	1	6	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	6	6	100		0	1					5					5					5					20					20	1				20					20					20				1	20					20					20					20					20					20					20					20					20			8	8	0	xxx	xxx	0	0	1
Spiked Shield	0	0	3	1	15	25	0	0	30	10	60	0	11	0	592	39588	spk	spk		308	spk	buc	spk	xpk	upk	0	7	2	3	1	6	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	9	9	100		0	1					5					5					5					20					20	1				20					20					20					20					20					20					20					20					20					20					20					20			8	8	0	xxx	xxx	0	0	1
War Hat	0	0	2	1	45	53	0	0	20	0	40	0	34	20	3296	246180	xap	xap			cap	cap	cap	xap	uap	0	0	2	2	1	4	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	xxx	xxx	0	0	1
Sallet	0	0	4	1	52	62	0	0	43	0	40	0	37	20	4074	340944	xkp	xkp			skp	skp	skp	xkp	ukp	0	0	2	2	1	4	1	flpskp	invskp	invxkpu	invxkpu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	xxx	xxx	0	0	1
Casque	0	0	4	1	63	72	0	0	59	0	40	0	42	20	5292	515412	xlm	xlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	xxx	xxx	0	0	1
Basinet	0	0	4	1	75	84	0	0	82	0	40	0	45	20	6510	701730	xhl	xhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	xxx	xxx	0	0	1
Winged Helm	0	0	4	1	85	98	0	0	115	0	40	0	51	20	8246	1067700	xhm	xhm			ghm	ghm	ghm	xhm	uhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	xxx	xxx	0	0	1
Grand Crown	0	0	4	1	78	113	0	0	103	0	40	0	55	20	9146	1346448	xrn	xrn		312	crn	crn	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn	invxrnu	invxrnu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	xxx	xxx	0	0	1
Death Mask	0	0	4	1	54	86	0	0	55	0	40	0	48	20	6130	723552	xsk	xsk		307	msk	msk	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	0	0	1
Ghost Armor	0	0	2	1	102	117	0	0	38	0	40	0	34	20	6804	496908	xui	xui		313	qlt	qlt	qui	xui	uui	0	1	2	3	1	6	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	xxx	xxx	0	0	1
