index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Twitchthroe	0	1		1	1	22	16	stu	Studded Leather			5	5000	lgrn	lgrn						swing2		10	25	dex		10	10	block		15	30	ac		25	25	str		10	10	balance2		10	25																									0
Darkglow	0	1		1	1	19	14	rng	Ring Mail			5	5000	dgrn	dgrn						att		20	20	res-all-max		5	10	light		3	3	ac-hth		50	50	res-all		10	20	ac%		70	100																									0
Hawkmail	0	1		1	1	20	15	scl	Scale Mail			5	5000	cgrn	cgrn						ac%		50	100	res-cold-max		15	15	res-cold		15	15	nofreeze		1	1	move2		5	15																													0
Sparking Mail	0	1		1	1	23	17	chn	Chain Mail			5	5000	lyel	lyel						ac%		50	75	dmg-ltng		1	20	res-ltng		30	30	gethit-skill	Charged Bolt	5	10																																	0
Venomsward	0	1		1	1	27	20	brs	Breast Plate			5	5000	dyel	dyel						res-pois-max		5	20	res-pois-len		50	75	res-pois		95	95	ac%		60	100																																	0
Iceblink	0	1		1	1	30	22	spl	Splint Mail			5	5000	lgld	lgld						freeze		1	1	res-cold		30	30	gethit-skill	Chilling Armor	5	1	red-mag		1	5	ac%		50	90																													0
Boneflesh	0	1		1	1	35	26	plt	Plate Mail			5	5000	dgld	dgld						lifesteal		5	5	ac%		100	120	att		35	35	openwounds		15	30	gethit-skill	Bone Armor	10	5																													0
Rockfleece	0	1		1	1	38	28	fld	Field Plate			5	5000	dgry	dgry						ease		-10	-10	aura	Defiance	1	1	red-dmg%		10	10	red-dmg		5	5	str		5	10																													0
Rattlecage	0	1		1	1	39	29	gth	Gothic Plate			5	5000	dpur	dpur						howl		52	52	att		45	45	crush		5	5	ac		200	200	aura	Defiance	1	1																													0
Goldskin	0	1		1	1	38	28	ful	Full Plate Mail			5	5000	oran			invfulu				ac%		50	200	res-all		35	35	mag%		20	50	gold%		100	200																																	0
Victors Silk	0	1		1	1	38	28	aar	AncientArmor			5	5000	dblu			invaaru				manasteal		5	15	allskills		1	2	ease		-10	-10	ac%		100	120																																	0
Heavenly Garb	0	1		1	1	39	29	ltp	Light Plate			5	5000	cblu	cblu						ac%		50	100	res-all		10	20	regen-mana		25	25	enr		15	15	dmg-undead		50	50	att-undead		100	100																									0
Pelta Lunata	0	1		1	1	3	2	buc	Buckler			5	5000	whit			invbucu				ac		15	40	vit		10	10	str		5	5	enr		10	10	ac%		30	40	block		10	25	block2		20	50																					0
Umbral Disk	0	1		1	1	12	9	sml	Small Shield			5	5000	lgry			invsmlu				stupidity		1	1	dex/lvl	16			ac		30	30	hp/lvl	16			light		1	2	ac%		40	50	block		15	35																					0
Stormguild	0	1		1	1	18	13	lrg	Large Shield			5	5000	dgry			invlrgu				red-mag		1	5	res-ltng		10	30	ac		30	30	dmg-ltng		5	15	ac%		50	60	block		15	35																									0
Wall of the Eyeless	0	1		1	1	27	20	bsh	Bone Shield			5	5000	lgld			invbshu				mana-kill		5	10	manasteal		5	5	cast2		20	20	res-pois		20	20	ac%		30	40	ac		10	10																									0
Swordback Hold	0	1		1	1	20	15	spk	Spiked Shield			5	5000	lred			invspku				ac		10	10	block		15	25	openwounds		30	75	bloody		3	5	ac%		30	60																													0
Steelclash	0	1		1	1	23	17	kit	Kite Shield			5	5000	blac			invkitu				block		15	30	pal		1	2	red-dmg		3	5	ac		20	20	ac%		60	100	block2		10	25	res-all		15	15																					0
Bverrit Keep	0	1		1	1	26	19	tow	Tower Shield			5	5000	lblu			invtowu				ac		15	30	res-fire		50	75	str		5	5	red-mag		5	5	ac%		80	120	block		5	15																									0
The Ward	0	1		1	1	35	26	gts	Gothic Shield			5	5000	dblu			invgtsu				ac		20	40	red-mag		5	5	str		10	10	block		10	10	ac%		100	100	res-all		30	50																									0
The Hand of Broc	0	1		1	1	7	5	lgl	Gloves			5	5000	cblu	cblu						manasteal		5	5	lifesteal		5	5	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																									0
Bloodfist	0	1		1	1	12	9	vgl	Heavy Gloves			5	5000	oran	oran						dmg-min		5	5	hp		40	40	balance2		30	30	ac		10	10	openwounds		10	25	swing2		5	15																									0
Chance Guards	0	1		1	1	20	15	mgl	Bracers			5	5000	lred	lred						gold%		50	200	mag%		10	50	att		25	25	ac		15	15	ac%		20	30																													0
Magefist	0	1		1	1	24	23	tgl	Light Gauntlets			5	5000	lgry	lgry						cast3		10	30	regen-mana		25	25	fireskill		2	2	dmg-fire		1	6	ac		10	10	ac%		20	30																									0
Frostburn	0	1		1	1	39	29	hgl	Gauntlets			5	5000	dred	dred						ac		15	30	dmg%		5	5	mana%		25	50	dmg-cold	50	10	20	ac%		10	20																													0
Hotspur	0	1		1	1	7	5	lbt	Leather Boots			5	5000	cred	cred						res-fire-max		5	20	hp		10	30	dmg-fire		3	6	ac		10	10	res-fire		45	45	ac%		10	20																									0
Gorefoot	0	1		1	1	12	9	vbt	Heavy Boots			5	5000	dblu	dblu						bloody		3	5	move2		20	20	manasteal		2	2	hp		20	20	ac		12	12	ac%		20	30	oskill	143	1	1																					0
Treads of Cthon	0	1		1	1	20	15	mbt	Chain Boots			5	5000	lgrn	lgrn						move2		15	40	ac-miss		50	50	vit		15	15	ac		12	12	ac%		30	40	gethit-skill	Teleport	5	1																									0
Goblin Toe	0	1		1	1	30	22	tbt	Light Plate Boots			5	5000	dgry	dgry						crush		5	5	red-dmg		1	5	red-mag		1	5	ac		15	15	ac%		50	60																													0
Tearhaunch	0	1		1	1	39	29	hbt	Plate Boots			5	5000	dgrn	dgrn						ac		35	35	str		5	10	dex		5	5	move2		10	25	res-all		10	10	ac%		30	100	skill	115	1	3																					0
Lenyms Cord	0	1		1	1	10	7	lbl	Sash			5	5000	cgrn	cgrn						mana		15	30	regen-mana		25	50	res-all		5	15																																					0
Snakecord	0	1		1	1	16	12	vbl	Light Belt			5	5000	blac	blac						dmg-pois	75	40	40	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	10	res-pois-len		50	50																									0
Nightsmoke	0	1		1	1	27	20	mbl	Belt			5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		5	5	mana		20	20	gethit-skill	264	5	3	ac		15	15	ac%		30	50																									0
Goldwrap	0	1		1	1	36	27	tbl	Heavy Belt			5	5000	lblu	lblu						mag%		10	50	gold%		30	100	ac		25	25	swing2		5	15	ac%		40	60																													0
Bladebuckle	0	1		1	1	39	29	hbl	Girdle			5	5000	dyel	dyel						balance2		20	35	ac		30	30	red-dmg		3	5	str		5	5	dex		10	10	ac%		50	125																									0
Nokozan Relic	0	1		1	1	14	10	amu	Amulet			5	5000	lgld							dmg-fire		3	6	res-fire-max		10	10	res-fire		50	50	fireskill		1	2	balance2		10	25																													0
The Eye of Etlich	0	1		1	1	20	15	amu	Amulet			5	5000	dgld							ac-miss		10	40	allskills		1	1	lifesteal		3	7	cold-min		1	2	cold-max		3	5	cold-len		50	250																									0
The Mahim-Oak Curio	0	1		1	1	34	25	amu	Amulet			5	5000	lpur							dex		10	10	str		10	10	enr		10	10	vit		10	10	ac		10	10	att%		5	15	res-all		10	20	ac%		10	10																	0
Nagelring	0	1		1	1	10	7	rin	Ring			5	5000	dpur							red-mag		5	5	vit		10	10	att		50	75	mag%		15	30	enr		10	15																													0
Manald Heal	0	1		1	1	20	15	rin	Ring			5	5000	oran							manasteal		5	10	regen		15	20	hp		40	50	regen-mana		20	50																																	0
The Stone of Jordan	0	1		1	1	39	29	rin	Ring			5	5000	whit			invuniring1				mana		25	75	mana%		25	75	oskill	Teleport	1	1	allskills		1	1																																	0
Amulet of the Viper	0	1		1	1	0	0	vip	Amulet			5	5000	lgry		flpset					mana		5	15	res-pois		10	30	hp		10	20																																					0
Staff of Kings	0	1		1	1	0	0	msf	Staff			5	5000	dgry		flpset					res-all		10	10	swing3		25	70	splash	proc_SplashDamage	100	1																																					0
Horadric Staff	0	1		1	1	0	0	hst	Staff			5	5000	blac		flpset					mana		10	10	res-pois		25	25	hp		10	20	res-all		10	10	swing3		25	60	splash	proc_SplashDamage	100	1																									0
Hell Forge Hammer	0	1		1	1	0	0	hfh	Hammer			5	5000	cred		flpset					fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35	splash	proc_SplashDamage	100	1																													0
KhalimFlail	0	1		1	1	0	0	qf1	Flail			5	5000	dblu		flpset					ltng-min		1	1	ltng-max		20	20	swing3		50	50	att		40	40	splash	proc_SplashDamage	100	1																													0
