Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Jah	100	0		91		1				600	randrune		31	31											rndr										0	0	0
Cham	100	0		94		1				600	randrune		32	32											rndr										0	0	0
Zod	100	0		97		1				600	randrune		33	33											rndr										0	0	0
adr	100	1	1	1	40	3			3	318	ac-miss		1	20											armo	weap									0	0	0
adr	100	1	1	11	85	12			2	318	ac-miss		21	60											armo	weap									0	0	0
adr	100	1	1	27	90	24			2	318	ac-miss		61	120											armo	weap									0	0	0
adr	100	1	1	43	95	46			1	318	ac-miss		121	200											armo	weap									0	0	0
adr	100	1	1	59		72			1	318	ac-miss		201	300											armo	weap									0	0	0
adr	100	1	1	1	40	3			3	318	ac-hth		1	20											armo	weap									0	0	0
adr	100	1	1	11	85	12			2	318	ac-hth		21	60											armo	weap									0	0	0
adr	100	1	1	27	90	24			2	318	ac-hth		61	120											armo	weap									0	0	0
adr	100	1	1	43	95	46			1	318	ac-hth		121	200											armo	weap									0	0	0
adr	100	1	1	59		72			1	318	ac-hth		201	300											armo	weap									0	0	0
Circlet-Ama	100	1	1	1					1	316	skill-rand	3	6	15	skill-rand	3	16	25	skill-rand	3	26	35			circ										0	0	0
Circlet-Ass	100	1	1	1					1	316	skill-rand	3	251	260	skill-rand	3	261	270	skill-rand	3	271	280			circ										0	0	0
Circlet-Bar	100	1	1	1					1	316	skill-rand	3	126	135	skill-rand	3	136	145	skill-rand	3	146	155			circ										0	0	0
Circlet-Dru	100	1	1	1					1	316	skill-rand	3	221	230	skill-rand	3	231	240	skill-rand	3	241	250			circ										0	0	0
Circlet-Nec	100	1	1	1					1	316	skill-rand	3	66	75	skill-rand	3	76	85	skill-rand	3	86	95			circ										0	0	0
Circlet-Pal	100	1	1	1					1	316	skill-rand	3	96	105	skill-rand	3	106	115	skill-rand	3	116	125			circ										0	0	0
Circlet-Sor	100	1	1	1					1	316	skill-rand	3	36	45	skill-rand	3	46	55	skill-rand	3	56	65			circ										0	0	0
Torch	100			1	99	1			12	320	light		4	8											armo										0	0	0
