Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	1024
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	1024
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	1024
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	1024
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	1024
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	1024
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	1024
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	1024
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	1024
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	1024
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	1024
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	1024
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	1024
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	1024
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254	1024
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967	1024
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793	1024
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665	1024
80	720000000	720000000	720000000	720000000	720000000	720000000	720000000	1024
81	770000000	770000000	770000000	770000000	770000000	770000000	770000000	1024
82	820000000	820000000	820000000	820000000	820000000	820000000	820000000	1024
83	870000000	870000000	870000000	870000000	870000000	870000000	870000000	1024
84	920000000	920000000	920000000	920000000	920000000	920000000	920000000	1024
85	970000000	970000000	970000000	970000000	970000000	970000000	970000000	1024
86	1020000000	1020000000	1020000000	1020000000	1020000000	1020000000	1020000000	1024
87	1070000000	1070000000	1070000000	1070000000	1070000000	1070000000	1070000000	1024
88	1120000000	1120000000	1120000000	1120000000	1120000000	1120000000	1120000000	1024
89	1170000000	1170000000	1170000000	1170000000	1170000000	1170000000	1170000000	1024
90	1300000000	1300000000	1300000000	1300000000	1300000000	1300000000	1300000000	1024
91	1450000000	1450000000	1450000000	1450000000	1450000000	1450000000	1450000000	512
92	1600000000	1600000000	1600000000	1600000000	1600000000	1600000000	1600000000	512
93	1650000000	1650000000	1650000000	1650000000	1650000000	1650000000	1650000000	512
94	1700000000	1700000000	1700000000	1700000000	1700000000	1700000000	1700000000	512
95	1750000000	1750000000	1750000000	1750000000	1750000000	1750000000	1750000000	512
96	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	512
97	1850000000	1850000000	1850000000	1850000000	1850000000	1850000000	1850000000	512
98	1900000000	1900000000	1900000000	1900000000	1900000000	1900000000	1900000000	512
99	1950000000	1950000000	1950000000	1950000000	1950000000	1950000000	1950000000	512
100	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	512
101	2050000000	2050000000	2050000000	2050000000	2050000000	2050000000	2050000000	512
102	2100000000	2100000000	2100000000	2100000000	2100000000	2100000000	2100000000	512
103	2150000000	2150000000	2150000000	2150000000	2150000000	2150000000	2150000000	512
104	2200000000	2200000000	2200000000	2200000000	2200000000	2200000000	2200000000	512
105	2250000000	2250000000	2250000000	2250000000	2250000000	2250000000	2250000000	512
106	2300000000	2300000000	2300000000	2300000000	2300000000	2300000000	2300000000	512
107	2350000000	2350000000	2350000000	2350000000	2350000000	2350000000	2350000000	512
108	2400000000	2400000000	2400000000	2400000000	2400000000	2400000000	2400000000	512
109	2450000000	2450000000	2450000000	2450000000	2450000000	2450000000	2450000000	512
110	2500000000	2500000000	2500000000	2500000000	2500000000	2500000000	2500000000	512
111	2600000000	2600000000	2600000000	2600000000	2600000000	2600000000	2600000000	256
112	2700000000	2700000000	2700000000	2700000000	2700000000	2700000000	2700000000	256
113	2800000000	2800000000	2800000000	2800000000	2800000000	2800000000	2800000000	256
114	2900000000	2900000000	2900000000	2900000000	2900000000	2900000000	2900000000	256
115	3000000000	3000000000	3000000000	3000000000	3000000000	3000000000	3000000000	256
116	3100000000	3100000000	3100000000	3100000000	3100000000	3100000000	3100000000	256
117	3200000000	3200000000	3200000000	3200000000	3200000000	3200000000	3200000000	256
118	3300000000	3300000000	3300000000	3300000000	3300000000	3300000000	3300000000	256
119	3400000000	3400000000	3400000000	3400000000	3400000000	3400000000	3400000000	256
120	3500000000	3500000000	3500000000	3500000000	3500000000	3500000000	3500000000	256
121	3600000000	3600000000	3600000000	3600000000	3600000000	3600000000	3600000000	128
122	3700000000	3700000000	3700000000	3700000000	3700000000	3700000000	3700000000	128
123	3800000000	3800000000	3800000000	3800000000	3800000000	3800000000	3800000000	128
124	3900000000	3900000000	3900000000	3900000000	3900000000	3900000000	3900000000	128
125	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	128
