Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Ice - Nightmare	100	3	271	1	2	50	150	merc01	merc41	5000	1	1040	54	805	22	88	16	124	24	1348	54	2	42	50	8	100	8	miss		carw	0	Dodge	1	0	0	1	10	Freezing Arrow	4	33	0	20	5	Ice Arrow	4	33	0	20	5	Blessed Aim	1	5	0	1	10	Cold Arrow	4	33	0	20	5							2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	85	150	merc01	merc41	10000	1	2876	94	805	22	139	16	200	24	1348	54	2	110	118	12	200	8	miss		carw	0	Dodge	1	0	0	1	10	Freezing Arrow	4	33	0	30	5	Ice Arrow	4	33	0	30	5	Blessed Aim	1	5	0	1	10	Cold Arrow	4	33	0	30	5							2	1	2	0
Rogue Scout	Comb - Normal	100	33	271	1	1	1	150	merc01	merc41	1	1	60	28	15	8	35	16	45	24	18	18		7	15	4	0	8	miss		comb	0	Dodge	1	0	0	1	10	Multiple Shot	4	33	4	10	5	Penetrate	1	0	0	1	10	Blessed Aim	1	5	0	1	10	Magic Arrow	4	33	0	10	5	Guided Arrow	4	33	0	10	5	2	1	2	0
Rogue Scout	Comb - Normal	100	33	271	1	1	1	150	merc01	merc41	1	1	60	28	295	15	35	16	45	24	430	36	1	7	15	4	0	8	miss		comb	0	Dodge	1	0	0	1	10	Multiple Shot	4	33	4	10	5	Penetrate	1	0	0	1	10	Blessed Aim	1	5	0	1	10	Magic Arrow	4	33	0	10	5	Guided Arrow	4	33	0	10	5	2	1	2	0
Rogue Scout	Comb - Normal	100	33	271	1	1	1	150	merc01	merc41	1	1	60	28	805	22	35	16	45	24	1348	54	2	7	15	4	0	8	miss		comb	0	Dodge	1	0	0	1	10	Multiple Shot	4	33	4	10	5	Penetrate	1	0	0	1	10	Blessed Aim	1	5	0	1	10	Magic Arrow	4	33	0	10	5	Guided Arrow	4	33	0	10	5	2	1	2	0
Rogue Scout	Comb - Nightmare	100	34	271	1	2	50	150	merc01	merc41	5000	1	1040	54	295	15	88	16	124	24	430	36	1	42	50	8	100	8	miss		comb	0	Dodge	1	0	0	1	10	Multiple Shot	4	33	4	20	5	Penetrate	1	0	0	1	10	Blessed Aim	1	5	0	1	10	Magic Arrow	4	33	0	20	5	Guided Arrow	4	33	0	20	5	2	1	2	0
Rogue Scout	Comb - Nightmare	100	34	271	1	2	50	150	merc01	merc41	5000	1	1040	54	805	22	88	16	124	24	1348	54	2	42	50	8	100	8	miss		comb	0	Dodge	1	0	0	1	10	Multiple Shot	4	33	4	20	5	Penetrate	1	0	0	1	10	Blessed Aim	1	5	0	1	10	Magic Arrow	4	33	0	20	5	Guided Arrow	4	33	0	20	5	2	1	2	0
Rogue Scout	Comb - Hell	100	35	271	1	3	85	150	merc01	merc41	10000	1	2876	94	805	22	139	16	200	24	1348	54	2	110	118	12	200	8	miss		comb	0	Dodge	1	0	0	1	10	Multiple Shot	4	33	4	30	5	Penetrate	1	0	0	1	10	Blessed Aim	1	5	0	1	10	Magic Arrow	4	33	0	35	5	Guided Arrow	4	33	0	35	5	2	1	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	1	198	merca201	merca221	1	1	160	57	45	11	57	16	40	16	20	18	1	28	56	8	0	8	mele		comb	0	Jab	14	90	0	5	6	Prayer	1	5	0	5	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	1	198	merca201	merca221	1	1	160	57	562	19	57	16	40	16	584	36	3	28	56	8	0	8	mele		comb	0	Jab	14	90	0	5	6	Prayer	1	5	0	5	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	1	198	merca201	merca221	1	1	160	57	1018	28	57	16	40	16	1160	54	4	28	56	8	0	8	mele		comb	0	Jab	14	90	0	5	6	Prayer	1	5	0	5	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	50	198	merca201	merca221	5000	1	2839	82	562	19	151	16	122	16	584	36	3	122	150	12	100	8	mele		comb	0	Jab	14	90	0	5	6	Prayer	1	5	0	5	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	50	198	merca201	merca221	5000	1	2839	82	1018	28	151	16	122	16	1160	54	4	122	150	12	100	8	mele		comb	0	Jab	14	90	0	5	6	Prayer	1	5	0	5	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	85	198	merca201	merca221	10000	1	4807	155	1018	28	199	16	164	16	1160	54	4	194	222	16	200	8	mele		comb	0	Jab	14	90	0	5	6	Prayer	1	5	0	5	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	1	198	merca201	merca221	1	1	160	57	45	11	57	16	40	16	20	18	1	28	56	8	0	8	mele		def	0	Jab	14	90	0	5	6	Defiance	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	1	198	merca201	merca221	1	1	160	57	562	19	57	16	40	16	584	36	3	28	56	8	0	8	mele		def	0	Jab	14	90	0	5	6	Defiance	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	1	198	merca201	merca221	1	1	160	57	1018	28	57	16	40	16	1160	54	4	28	56	8	0	8	mele		def	0	Jab	14	90	0	5	6	Defiance	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	50	198	merca201	merca221	5000	1	2839	82	562	19	151	16	122	16	584	36	3	122	150	12	100	8	mele		def	0	Jab	14	90	0	5	6	Defiance	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	50	198	merca201	merca221	5000	1	2839	82	1018	28	151	16	122	16	1160	54	4	122	150	12	100	8	mele		def	0	Jab	14	90	0	5	6	Defiance	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	85	198	merca201	merca221	10000	1	4807	155	1018	28	199	16	164	16	1160	54	4	194	222	16	200	8	mele		def	0	Jab	14	90	0	5	6	Defiance	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	1	198	merca201	merca221	1	1	160	57	45	11	57	16	40	16	20	18	1	28	56	8	0	8	mele		off	0	Jab	14	90	0	5	6	Might	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	1	198	merca201	merca221	1	1	160	57	562	19	57	16	40	16	584	36	3	28	56	8	0	8	mele		off	0	Jab	14	90	0	5	6	Might	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	1	198	merca201	merca221	1	1	160	57	1018	28	57	16	40	16	1160	54	4	28	56	8	0	8	mele		off	0	Jab	14	90	0	5	6	Might	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	50	198	merca201	merca221	5000	1	2839	82	562	19	151	16	122	16	584	36	3	122	150	12	100	8	mele		off	0	Jab	14	90	0	5	6	Might	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	50	198	merca201	merca221	5000	1	2839	82	1018	28	151	16	122	16	1160	54	4	122	150	12	100	8	mele		off	0	Jab	14	90	0	5	6	Might	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	85	198	merca201	merca221	10000	1	4807	155	1018	28	199	16	164	16	1160	54	4	194	222	16	200	8	mele		off	0	Jab	14	90	0	5	6	Might	1	5	0	1	10	Pole Arm Mastery	1	0	0	1	5	Spear Mastery	1	0	0	1	5													2	2	2	0
Eastern Sorceror	Fire-Normal	100	15	359	3	1	1	252	merca222	merca241	1	1	213	33	80	5	49	16	40	8	15	18		4	28	8	0	8	mele	shie	fire	0	Meteor	7	30	0	10	5	Fire Ball	7	30	0	10	5	Hydra	7	30	0	10	5	Fire Mastery	1	0	0	10	10	Resist Fire	1	5	0	1	10	Fire Bolt	7	30	0	10	5	2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	1	252	merca222	merca241	1	1	213	33	260	13	49	16	40	8	447	36	3	4	28	8	0	8	mele	shie	fire	0	Meteor	7	30	0	10	5	Fire Ball	7	30	0	10	5	Hydra	7	30	0	10	5	Fire Mastery	1	0	0	10	10	Resist Fire	1	5	0	1	10	Fire Bolt	7	30	0	10	5	2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	1	252	merca222	merca241	1	1	213	33	689	25	49	16	40	8	1239	54	5	4	28	8	0	8	mele	shie	fire	0	Meteor	7	30	0	10	5	Fire Ball	7	30	0	10	5	Hydra	7	30	0	10	5	Fire Mastery	1	0	0	10	10	Resist Fire	1	5	0	1	10	Fire Bolt	7	30	0	10	5	2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	50	252	merca222	merca241	5000	1	1401	68	260	13	103	16	85	8	447	36	3	76	100	8	100	8	mele	shie	fire	0	Meteor	7	30	0	10	5	Fire Ball	7	30	0	20	5	Hydra	7	30	0	20	5	Fire Mastery	1	0	0	10	10	Resist Fire	1	5	0	1	10	Fire Bolt	7	30	0	20	5	2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	50	252	merca222	merca241	5000	1	1401	68	689	25	103	16	85	8	1239	54	5	76	100	8	100	8	mele	shie	fire	0	Meteor	7	30	0	10	5	Fire Ball	7	30	0	20	5	Hydra	7	30	0	20	5	Fire Mastery	1	0	0	10	10	Resist Fire	1	5	0	1	10	Fire Bolt	7	30	0	20	5	2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	85	252	merca222	merca241	10000	1	3381	96	689	25	152	16	126	8	1239	54	5	142	166	8	200	8	mele	shie	fire	0	Meteor	7	30	0	10	5	Fire Ball	7	30	0	30	5	Hydra	7	30	0	40	5	Fire Mastery	1	0	0	10	10	Resist Fire	1	5	0	1	10	Fire Bolt	7	30	0	30	5	2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	1	252	merca222	merca241	1	1	213	33	80	5	49	16	40	8	15	18		4	28	8	0	8	mele	shie	cold	0	Glacial Spike	7	30	0	10	5	Cold Mastery	1	0	0	10	10	Frozen Orb	7	30	0	10	5	Resist Cold	1	5	0	1	10	Ice Bolt	7	30	0	10	5							2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	1	252	merca222	merca241	1	1	213	33	260	13	49	16	40	8	447	36	3	4	28	8	0	8	mele	shie	cold	0	Glacial Spike	7	30	0	10	5	Cold Mastery	1	0	0	10	10	Frozen Orb	7	30	0	10	5	Resist Cold	1	5	0	1	10	Ice Bolt	7	30	0	10	5							2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	1	252	merca222	merca241	1	1	213	33	689	25	49	16	40	8	1239	54	5	4	28	8	0	8	mele	shie	cold	0	Glacial Spike	7	30	0	10	5	Cold Mastery	1	0	0	10	10	Frozen Orb	7	30	0	10	5	Resist Cold	1	5	0	1	10	Ice Bolt	7	30	0	10	5							2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	50	252	merca222	merca241	5000	1	1401	68	260	13	103	16	85	8	447	36	3	76	100	8	100	8	mele	shie	cold	0	Glacial Spike	7	30	0	10	5	Cold Mastery	1	0	0	10	10	Frozen Orb	7	30	0	20	5	Resist Cold	1	5	0	1	10	Ice Bolt	7	30	0	20	5							2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	50	252	merca222	merca241	5000	1	1401	68	689	25	103	16	85	8	1239	54	5	76	100	8	100	8	mele	shie	cold	0	Glacial Spike	7	30	0	10	5	Cold Mastery	1	0	0	10	10	Frozen Orb	7	30	0	20	5	Resist Cold	1	5	0	1	10	Ice Bolt	7	30	0	20	5							2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	85	252	merca222	merca241	10000	1	3381	96	689	25	152	16	126	8	1239	54	5	142	166	8	200	8	mele	shie	cold	0	Glacial Spike	7	30	0	10	5	Cold Mastery	1	0	0	10	10	Frozen Orb	7	30	0	30	5	Resist Cold	1	5	0	1	10	Ice Bolt	7	30	0	30	5							2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	1	252	merca222	merca241	1	1	213	33	80	5	49	16	40	8	15	18		4	28	8	0	8	mele	shie	ltng	0	Lightning Mastery	1	0	0	10	10	Lightning	7	30	0	10	5	Chain Lightning	7	30	0	10	5	Resist Lightning	1	5	0	1	10	Charged Bolt	7	30	0	10	5							2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	1	252	merca222	merca241	1	1	213	33	260	13	49	16	40	8	447	36	3	4	28	8	0	8	mele	shie	ltng	0	Lightning Mastery	1	0	0	10	10	Lightning	7	30	0	10	5	Chain Lightning	7	30	0	10	5	Resist Lightning	1	5	0	1	10	Charged Bolt	7	30	0	10	5							2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	1	252	merca222	merca241	1	1	213	33	689	25	49	16	40	8	1239	54	5	4	28	8	0	8	mele	shie	ltng	0	Lightning Mastery	1	0	0	10	10	Lightning	7	30	0	10	5	Chain Lightning	7	30	0	10	5	Resist Lightning	1	5	0	1	10	Charged Bolt	7	30	0	10	5							2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	50	252	merca222	merca241	5000	1	1401	68	260	13	103	16	85	8	447	36	3	76	100	8	100	8	mele	shie	ltng	0	Lightning Mastery	1	0	0	10	10	Lightning	7	30	0	20	5	Chain Lightning	7	30	0	20	5	Resist Lightning	1	5	0	1	10	Charged Bolt	7	30	0	20	5							2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	50	252	merca222	merca241	5000	1	1401	68	689	25	103	16	85	8	1239	54	5	76	100	8	100	8	mele	shie	ltng	0	Lightning Mastery	1	0	0	10	10	Lightning	7	30	0	20	5	Chain Lightning	7	30	0	20	5	Resist Lightning	1	5	0	1	10	Charged Bolt	7	30	0	20	5							2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	85	252	merca222	merca241	10000	1	3381	96	689	25	152	16	126	8	1239	54	5	142	166	8	200	8	mele	shie	ltng	0	Lightning Mastery	1	0	0	10	10	Lightning	7	30	0	30	5	Chain Lightning	7	30	0	30	5	Resist Lightning	1	5	0	1	10	Charged Bolt	7	30	0	30	5							2	2	2	1
Eastern Sorceror	bnmg-Normal	100	30	359	3	1	1	252	merca222	merca241	1	1	213	33	80	5	49	16	40	8	15	18		4	28	8	0	8	mele	shie	bnmg	0	Bone Spear	7	12	0	10	5	Bone Spirit	7	30	0	10	5	Teeth	7	12	0	10	5	Concentration	1	5	0	1	10													2	2	2	1
Eastern Sorceror	bnmg-Normal	100	30	359	3	1	1	252	merca222	merca241	1	1	213	33	260	13	49	16	40	8	447	36	3	4	28	8	0	8	mele	shie	bnmg	0	Bone Spear	7	12	0	10	5	Bone Spirit	7	30	0	10	5	Teeth	7	12	0	10	5	Concentration	1	5	0	1	10													2	2	2	1
Eastern Sorceror	bnmg-Normal	100	30	359	3	1	1	252	merca222	merca241	1	1	213	33	689	25	49	16	40	8	1239	54	5	4	28	8	0	8	mele	shie	bnmg	0	Bone Spear	7	12	0	10	5	Bone Spirit	7	30	0	10	5	Teeth	7	12	0	10	5	Concentration	1	5	0	1	10													2	2	2	1
Eastern Sorceror	bnmg-Nightmare	100	31	359	3	2	50	252	merca222	merca241	5000	1	1401	68	260	13	103	16	85	8	447	36	3	76	100	8	100	8	mele	shie	bnmg	0	Bone Spear	7	12	0	20	5	Bone Spirit	7	30	0	20	5	Teeth	7	12	0	20	5	Concentration	1	5	0	1	10													2	2	2	1
Eastern Sorceror	bnmg-Nightmare	100	31	359	3	2	50	252	merca222	merca241	5000	1	1401	68	689	25	103	16	85	8	1239	54	5	76	100	8	100	8	mele	shie	bnmg	0	Bone Spear	7	12	0	20	5	Bone Spirit	7	30	0	20	5	Teeth	7	12	0	20	5	Concentration	1	5	0	1	10													2	2	2	1
Eastern Sorceror	bnmg-Hell	100	32	359	3	3	85	252	merca222	merca241	10000	1	3381	96	689	25	152	16	126	8	1239	54	5	142	166	8	200	8	mele	shie	bnmg	0	Bone Spear	7	12	0	35	5	Bone Spirit	7	30	0	35	5	Teeth	7	12	0	35	5	Concentration	1	5	0	1	10													2	2	2	1
Barbarian	1hs-Normal	100	24	561	5	1	1	515	MercX101	MercX167	1	1	384	86	180	10	101	24	63	16	150	30	1	64	80	12	0	8	mele	shie	bash	0	Bash	5	50	0	10	5	Concentrate	5	15	0	10	5	Battle Cry	5	50	0	10	5	Fanaticism	1	5	0	10	10	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Normal	100	24	561	5	1	1	515	MercX101	MercX167	1	1	384	86	500	35	101	24	63	16	790	52	1	64	80	12	0	8	mele	shie	bash	0	Bash	5	50	0	10	5	Concentrate	5	50	0	10	5	Battle Cry	5	50	0	10	5	Fanaticism	1	5	0	10	10	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Normal	100	24	561	5	1	1	515	MercX101	MercX167	1	1	384	86	1375	50	101	24	63	16	1657	68	1	64	80	12	0	8	mele	shie	bash	0	Bash	5	50	0	10	5	Concentrate	5	75	0	10	5	Battle Cry	5	50	0	10	5	Fanaticism	1	5	0	10	10	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Normal	100	25	561	5	1	1	515	MercX101	MercX167	1	1	384	86	180	10	101	24	63	16	150	30	1	64	80	12	0	8	mele	shie	stun	0	Bash	5	50	0	10	5	Berserk	5	50	0	20	5	Battle Cry	5	50	0	20	5	Thorns	1	5	0	1	99	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Normal	100	25	561	5	1	1	515	MercX101	MercX167	1	1	384	86	500	35	101	24	63	16	790	52	1	64	80	12	0	8	mele	shie	stun	0	Bash	5	50	0	10	5	Berserk	5	50	0	20	5	Battle Cry	5	50	0	20	5	Thorns	1	5	0	1	99	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Normal	100	25	561	5	1	1	515	MercX101	MercX167	1	1	384	86	1375	50	101	24	63	16	1657	68	1	64	80	12	0	8	mele	shie	stun	0	Bash	5	50	0	10	5	Berserk	5	50	0	30	5	Battle Cry	5	50	0	30	5	Thorns	1	5	0	1	99	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Nightmare	100	26	561	5	2	50	515	MercX101	MercX167	5000	1	3136	144	500	35	169	24	111	16	790	52	4	160	176	16	100	8	mele	shie	bash	0	Bash	5	50	0	10	5	Concentrate	5	50	0	10	5	Battle Cry	5	50	0	10	5	Fanaticism	1	5	0	10	10	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Nightmare	100	26	561	5	2	50	515	MercX101	MercX167	5000	1	3136	144	1375	50	169	24	111	16	1657	68	4	160	176	16	100	8	mele	shie	bash	0	Bash	5	50	0	10	5	Concentrate	5	50	0	10	5	Battle Cry	5	50	0	10	5	Fanaticism	1	5	0	10	10	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Nightmare	100	27	561	5	2	50	515	MercX101	MercX167	5000	1	3136	144	500	35	169	24	111	16	790	52	4	160	176	16	100	8	mele	shie	stun	0	Bash	5	50	0	10	5	Berserk	5	50	0	10	5	Battle Cry	5	50	0	10	5	Thorns	1	5	0	1	99	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Nightmare	100	27	561	5	2	50	515	MercX101	MercX167	5000	1	3136	144	1375	50	169	24	111	16	1657	68	4	160	176	16	100	8	mele	shie	stun	0	Bash	5	50	0	10	5	Berserk	5	50	0	20	5	Battle Cry	5	50	0	20	5	Thorns	1	5	0	1	99	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Hell	100	28	561	5	3	85	515	MercX101	MercX167	10000	1	6736	224	1375	50	222	24	149	16	1657	68	6	260	276	18	200	8	mele	shie	bash	0	Bash	5	50	0	10	5	Concentrate	5	50	0	20	5	Battle Cry	5	50	0	20	5	Fanaticism	1	5	0	10	10	Sword Mastery	1	0	0	1	5							0	0	0	1
Barbarian	1hs-Hell	100	29	561	5	3	85	515	MercX101	MercX167	10000	1	6736	224	1375	50	222	24	149	16	1657	68	6	260	276	18	200	8	mele	shie	stun	0	Bash	5	50	0	10	5	Berserk	5	50	0	30	5	Battle Cry	5	50	0	30	5	Thorns	1	5	0	1	99	Sword Mastery	1	0	0	1	5							0	0	0	1
