index	name	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Infernal Tools	Infernal Tools	0	7	dmg-pois	80	25	25					mana		10	10																					att%	0	20	20	nec	0	1	1	gethit-skill	Bone Armor	10	1	manasteal		6	6	allskills		1	1													0
Berserker's Garb	Berserker's Garb	0	5	hp		50	50																													res-pois-len	0	75	75	fire-min		10	10	fire-max		25	25	half-freeze		1	1	oskill	Berserk	1	1	allskills		2	2									0
Death's Disguise	Death's Disguise	0	8	lifesteal		8	8																													att%	0	40	40	gethit-skill	Amplify Damage	10	5	res-all	0	25	25	allskills		2	2																	0
Angelical Raiment	Angelical Raiment	0	17	dex		10	10					mana		50	50																					res-all	0	25	25	half-freeze	0	1	1	gethit-skill	Fist of the Heavens	15	10	regen-mana		10	10	allskills		2	2													0
Arctic Gear	Arctic Gear	0	3	str		5	5					hp		50	50																					cold-len	0	100	100	cold-max	0	14	14	nofreeze	0	1	1	aura	Holy Freeze	1	1	allskills		2	2													0
Arcanna's Tricks	Arcanna's Tricks	0	20	mana		25	25					hp		50	50																					cast3	0	20	20	manasteal	0	5	5	mana%	0	10	10	allskills		2	2																	0
Expansion																																																																				0
Natalya's Odium	Natalya's Odium	100	22	red-mag		30	30					ac		200	200																					res-all		50	50	ass		5	5	skill	Shadow Warrior	20	20	lifesteal		14	14	manasteal		14	14	red-dmg%		30	30	fullsetgeneric		1	1					0
Aldur's Watchtower	Aldur's Watchtower	100	29	att%		150	150					mag%		50	50																					res-all		50	50	dru		5	5	skill	Shape Shifting	20	20	manasteal		10	10	mana		150	150	dmg%		350	350	state	fullsetgeneric	1	1					0
Immortal King	Immortal King	100	37	att		50	50					att		75	75					att		125	125					att		200	200					res-all		50	50	bar		5	5	skill	War Cry	20	20	hp		150	150	red-mag		30	30	state	fullsetgeneric	1	1									0
Tal Rasha's Wrappings	Tal Rasha's Wrappings	100	26	regen		20	20					mag%		65	65					balance2		25	25													res-all		50	50	sor		5	5	skill	Meteor	20	20	hp		150	150	state	fullsetgeneric	1	1													0
Griswold's Legacy	Griswold's Legacy	100	44	str		50	50					dex		50	50																					res-all		50	50	pal		5	5	aura	Concentration	20	20	hp		150	150	state	fullsetgeneric	1	1	balance2		60	60									0
Trang-Oul's Avatar	Trang-Oul's Avatar	100	32	regen-mana		15	15	oskill	Fire Ball	20	20	regen-mana		15	15	oskill	Fire Wall	20	20	regen-mana		15	15	oskill	Meteor	20	20	regen		30	30					res-all		50	50	nec		5	5	mana		100	100	oskill	Fire Mastery	20	20	state	fullsetgeneric	1	1	regen-mana		15	15									0
M'avina's Battle Hymn	M'avina's Battle Hymn	100	21	str		50	50					dex		50	50																					res-all		50	50	ama		5	5	skill	Strafe	20	20	att%		100	100	mag%		100	100	state	fullsetgeneric	1	1									0
The Disciple	The Disciple	100	39	ac		150	150					dmg-pois	75	75	75					str		10	10					dex		10	10					res-all		50	50	allskills		4	4	mana		100	100																					0
Heaven's Brethren	Heaven's Brethren	100	55	vit		25	25					regen		20	20					dmg-fire		30	30													res-all		50	50	allskills		4	4	nofreeze		1	1	light		5	5																	0
Orphan's Call	Orphan's Call	100	41	hp		100	100					move2		30	30																					mag%		80	80	dex		20	20	str		20	20	aura	Salvation	1	1	allskills		2	2													0
Hwanin's Majesty	Hwanin's Majesty	100	28	lifesteal		20	20					ac		200	200																					allskills		2	2	move3		30	30	res-all		40	40	oskill	Zeal	3	3	res-mag		10	10													0
Sazabi's Grand Tribute	Sazabi's Grand Tribute	100	34	move3		40	40																													res-all		40	40	lifesteal		15	15	res-mag		10	10	allskills		2	2																	0
Bul-Kathos' Children	Bul-Kathos' Children	100	50																																	dmg-fire		20	20	allskills		4	4	att%		50	50	skill	Shout	10	10	dmg-undead		200	200	dmg-demon		200	200	dmg%		150	150					0
Cow King's Leathers	Cow King's Leathers	100	20	res-pois		25	25																													vit		100	100	str		20	20	reanimate	391	20	20	mag%		50	50	gethit-skill	42	20	5	swing3		50	50	allskills		2	2	state	391	1	1	0
Naj's Ancient Set	Naj's Ancient Set	100	43	ac		175	175																													allskills		4	4	regen		10	10	dex		15	15	res-all		50	50	str		50	50	mana		100	100									0
McAuley's Folly	McAuley's Folly	100	20	ac		50	50					att		75	75																					allskills		3	3	mag%		50	50	mana		50	50	lifesteal		5	5																	0
Falsum	Falsum	100	8	regen		10	10	regen-mana		25	25																									hp%		5	5	mana%		5	5	mag%		20	25	gold%		35	35	gethit-skill	Fade	5	1	allskills		2	2									0
Survival Kit	Survival Kit	100	4	ac		100	100					hp/lvl	32																							allskills		2	2	res-all		30	30	att%		100	100	aura	Vigor	1	1																	0
Angel's Guise	Angel's Guise	100	1	light		5	5					light		5	5					light		5	5	oskill	54	1	1									res-all		100	100	state	fullsetgeneric	1	1	allskills		3	3																					
