Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword36	Eternity	1		mele									AmnBerIstSolSur	r11	r30	r24	r12	r29		dmg%		260	310	indestruct		1	1	slow		33	33	oskill	Revive	10	10	splash	proc_SplashDamage	100	1	regen-mana		16	16	nofreeze		1	1	0
Runeword37	Exile's Path	1		pala									VexOhmIstDol	r26	r27	r24	r14			block2		30	30	freeze		1	1	ac%		220	260	aura	Defiance	13	16	skilltab	10	2	2	hit-skill	Life Tap	15	5	rep-dur	25			0
Runeword39	Famine	1		axe	hamm								FalOhmOrtJah	r19	r27	r09	r31			dmg%		270	320	lifesteal		12	12	swing2		30	30	splash	proc_SplashDamage	100	1	dmg-mag		180	200	dmg-elem	100	50	200	ethereal		1	1	0
Runeword48	Hand of Justice	1		weap									SurChamAmnLo	r29	r32	r11	r28			splash	proc_SplashDamage	100	1	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	Blaze	100	36	death-skill	Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Runeword51	Heart of the Oak	1		staf	mace	swor	weap						KoVexPulThul	r18	r26	r21	r10			cast2		40	40	oskill	Oak Sage	5	5	mana%		15	15	allskills		3	3	splash	proc_SplashDamage	100	1	res-all		30	40	oskill	Raven	14	14	0
Runeword66	Kingslayer	1		swor	axe								MalUmGulFal	r23	r22	r25	r19			swing2		30	30	dmg%		230	270	splash	proc_SplashDamage	100	1	crush		6	6	openwounds		25	25	oskill	Vengeance	1	1	gold%		40	40	0
Runeword95	Passion	1		weap									DolOrtEldLem	r14	r09	r02	r20			dmg%		160	210	oskill	Zeal	1	1	att%		50	80	oskill	Berserk	1	1	swing2		25	25	oskill	Heart of Wolverine	5	5	splash	proc_SplashDamage	100	1	0
Runeword45	Gloom	1		tors	cloa								FalUmPul	r19	r22	r21				ac%		170	230	res-all		30	30	gethit-skill	Dim Vision	15	3	balance2		10	10	dmg-to-mana		5	5	light		1	1	half-freeze		1	1	0
Runeword122	Sanctuary	1		shld									KoKoMal	r18	r18	r23				block		20	20	block2		20	20	ac%		130	160	ac-miss		250	250	res-all		50	70	balance2		20	20	oskill	Slow Missiles	12	12	0
Runeword16	Chaos	1		h2h									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing2		35	35	hit-skill	Frozen Orb	9	11	splash	proc_SplashDamage	100	1	0
Runeword4	The Beast	1		axe	scep	hamm								r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	splash	proc_SplashDamage	100	1	oskill	Summon Grizzly	13	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Runeword123	Serendipity																																															0
Runeword124	Shadow																																															0
Runeword125	Shadow of Doubt																																															0
Runeword127	Siren's Song																																															0
Runeword129	Sorrow																																															0
Runeword130	Spirit	1		weap	shld								TalThulOrtAmn	r07	r10	r09	r11			balance3		55	55	mana		100	120	ac-miss		250	250	hp		40	50	cast3		30	35	splash	proc_SplashDamage	100	1	allskills		2	2	0
Runeword131	Splendor	1		shld										r05	r17					light		3	3	gold%		50	50	mag%		20	20	ac%		60	100	block2		20	20	cast2		10	10	allskills		1	1	0
Runeword132	Starlight																																															0
Runeword135	Still Water	1		shld									ZodCham	r33	r32					aura	Prayer	10	15	allskills		2	2	block		25	25	block2		25	25	res-all-max		5	5	red-dmg%		25	30	oskill	Frozen Armor	1	3	0
Runeword30	Duress	1		tors	cloa								ShaelUmThul	r13	r22	r10				dmg-cold	50	37	133	dmg%		10	20	ac%		150	200	balance2		20	20	openwounds		33	33	crush		3	3	vit		10	10	0
Runeword138	Storm																																															0
Runeword140	Tempest																																															0
Runeword141	Temptation																																															0
Runeword142	Terror																																															0
Runeword90	Nightfall																																															0
Runeword91	Oath	1		swor	axe	mace							ShaelPulMalLum	r13	r21	r23	r17			dmg%		210	340	swing1		30	30	hit-skill	Bone Spirit	30	20	oskill	IronGolem	17	17	oskill	Heart of Wolverine	20	20	splash	proc_SplashDamage	100	1	indestruct		1	1	0
Runeword92	Obedience	1		pole									HelKoThulEthFal	r15	r18	r10	r05	r19		dmg%		370	370	crush		8	8	kill-skill	enchant	30	21	pierce-fire		25	25	splash	proc_SplashDamage	100	1	balance3		40	40	res-all		20	30	0
Runeword93	Oblivion	1		helm									ZodElVexGul	r33	r01	r26	r25			mana		-50000	-50000	res-mag		200	200	regen		-250	-250	move2		-50	-50	red-dmg		500	500	red-mag		500	500	res-all		200	200	0
Runeword94	Obsession																																															0
Runeword49	Harmony	1		miss									TirIthSolKo	r03	r06	r12	r18			dmg%		200	275	dmg-elem		55	160	oskill	Revive	20	20	aura	Vigor	10	10	oskill	Valkyrie	2	6	regen-mana		20	20	light		2	2	0
Runeword50	Hatred																																															0
Runeword40	Flickering Flame																																															0
Runeword41	Fortitude	1		weap	tors	cloa							ElSolDolLo	r01	r12	r14	r28			ac%		200	200	dmg%		300	300	cast3		25	25	gethit-skill	Chilling Armor	20	15	dmg-to-mana		10	10	splash	proc_SplashDamage	100	1	res-all		25	30	0
Runeword42	Fortune's Favor																																															0
Runeword89	Nature's Kingdom																																															0
Runeword46	Glory																																															0
Runeword38	Faith	1		miss									OhmJahLemEld	r27	r31	r20	r02			dmg%		280	280	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	fanaticism	12	15	reanimate	1	10	10	allskills		1	2	0
Runeword43	Amity																																															0
Runeword2	Armageddon																																															0
Runeword3	Authority																																															0
Runeword5	Beauty																																															0
Runeword7	Blood			helm																																												0
Runeword8	Bone	1		tors	cloa								SolUmUm	r12	r22	r22				hit-skill	Bone Spear	15	10	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150													0
Runeword10	Brand	1		miss									JahLoMalGul	r31	r28	r23	r25			dmg%		260	340	dmg-demon		280	330	hit-skill	Bone Spear	52	18	gethit-skill	Amplify Damage	35	14	knock		1	1	noheal		1	1	explosivearrow		15	15	0
Runeword12	Broken Promise																																															0
Runeword15	Chance																																															0
Runeword136	Sting																																															0
Runeword18	Darkness																																															0
Runeword19	Daylight																																															0
Runeword20	Death	1		swor	axe	mace							HelElVexOrtGul	r15	r01	r26	r09	r25		dmg%		300	385	splash	proc_SplashDamage	100	1	oskill	BloodGolem	20	20	att-skill	Glacial Spike	25	18	death-skill	Chain Lightning	100	44	crush		10	10	indestruct		1	1	0
Runeword21	Deception																																															0
Runeword23	Desire																																															0
Runeword24	Despair																																															0
Runeword32	Destiny's Daughter																																															0
Runeword25	Destruction	1		pole	swor								VexLoBerJahKo	r26	r28	r30	r31	r18		dmg%		350	350	dmg-mag		100	180	hit-skill	Molten Boulder	5	23	death-skill	Meteor	100	45	att-skill	Nova	15	22	hit-skill	Volcano	23	12	splash	proc_SplashDamage	100	1	0
Runeword27	Dragon	1		tors	cloa								SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	15	gethit-skill	Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5	0
Runeword28	Dread																																															0
Runeword29	Dream	1		helm									IoJahPul	r16	r31	r21				ac		150	220	gethit-skill	Confuse	10	15	mana/lvl	5			res-all		5	20	balance3		20	30	aura	Holy Shock	15	15	mag%		12	25	0
Runeword56	Dweomer																																															0
Runeword31	Edge	1		miss									TirTalAmn	r03	r07	r11				dmg-demon		320	380	dmg-undead		280	280	swing2		35	35	noheal		1	1	aura	Thorns	1	1	all-stats		5	10	cheap		15	15	0
Runeword34	Enlightenment	1		tors	cloa								PulRalSur	r21	r08	r12				hit-skill	Fire Ball	5	15	gethit-skill	Blaze	5	15	sor		2	2	oskill	Warmth	1	1													0
Runeword35	Envy																																															0
Runeword52	Heaven's Will																																															0
Runeword53	Holy Tears	1		helm									TalRalOrtThul	r07	r08	r09	r10			res-all		20	20	red-dmg		5	5	red-mag		5	5																	0
Runeword57	Humility																																															0
Runeword58	Hunger																																															0
Runeword59	Ice	1		miss									AmnShaelJahLo	r11	r13	r31	r28			dmg%		140	210	aura	Holy Freeze	18	28	extra-cold		25	50	hit-skill	Frost Nova	25	20	levelup-skill	Blizzard	100	40	pierce-cold		20	50	mag%/lvl	8			0
Runeword60	Infinity	1		pole	miss	spea							BerMalBerIst	r30	r23	r30	r24			dmg%		295	325	splash	proc_SplashDamage	100	1	hp		200	200	aura	Conviction	17	17	pierce-fire		5	15	pierce-ltng		5	15	pierce-cold		5	15	0
Runeword61	Innocence	1		belt									ThulEl	r10	r01					regen		5	5	red-dmg		5	7	hp		25	25	ac/lvl	24			nofreeze		1	1									0
Runeword62	Insight	1		staf	pole								RalTirTalSol	r08	r03	r07	r12			dmg%		200	260	att%		180	250	mag%		23	23	oskill	Critical Strike	1	6	cast2		35	35	aura	Meditation	1	11	splash	proc_SplashDamage	100	1	0
Runeword63	Jealousy																																															0
Runeword64	Judgment																																															0
Runeword67	Knight's Vigil	1		boot									KoUm	r18	r22					aura	115	2	5	light		5	5	str		5	5	ac%		20	20	res-all		3	3	nofreeze		1	1					0
Runeword69	Last Wish	1		swor	hamm	axe							JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	dmg%		330	375	splash	proc_SplashDamage	100	1	hit-skill	Life Tap	10	18	gethit-skill	Fade	6	11	crush		8	10	mag%/lvl	4			aura	Might	17	17	0
Runeword70	Law																																															0
Runeword71	Lawbringer	1		swor	hamm	scep							AmnLemKo	r11	r20	r18				dmg-cold		130	180	dmg-fire		150	210	aura	Sanctuary	16	18	hit-skill	Decrepify	20	15	ac-miss		200	250	rip		1	1	splash	proc_SplashDamage	100	1	0
Runeword73	Lightning																																															0
Runeword77	Loyalty																																															0
Runeword78	Lust																																															0
Runeword79	Madness																																															0
Runeword84	Mist																																															0
Runeword85	Morning Dew																																															0
Runeword86	Mystery																																															0
Runeword87	Myth	1		tors	cloa								HelAmnNef	r15	r11	r04				hit-skill	Taunt	10	1	gethit-skill	Howl	5	1	bar		2	2	regen		10	10													0
Runeword95	Patience																																															0
Runeword97	Pattern			h2h										r07	r09	r03				att%		10	10	dmg%		40	80	dmg-fire		12	32	res-all		15	15	splash	proc_SplashDamage	100	1	dex		6	6	block2		30	30	0
Runeword98	Peace	1		tors	cloa								ShaelThulAmn	r13	r10	r11				hit-skill	Inner Sight	5	10	gethit-skill	Slow Missiles	5	5	ama		2	2	oskill	Critical Strike	2	2													0
Runeword100	Penitence																																															0
Runeword101	Peril	1		glov									FalKo	r19	r18					lifesteal		5	5	swing2		20	20	str		8	8	dex		8	8	manasteal		5	5	ignore-ac		1	1					0
Runeword102	Pestilence																																															0
Runeword103	Phoenix	1		weap	shld								VexVexLoJah	r26	r26	r28	r31			dmg%		350	400	ac-miss		350	400	abs-fire		30	30	allskills		1	1	pierce-fire		30	30	aura	Redemption	15	15	splash	proc_SplashDamage	100	1	0
Runeword104	Piety																																															0
Runeword105	Pillar of Faith																																															0
Runeword106	Plague			weap									ChamFalUm	r32	r19	r22				dmg-demon		260	380	gethit-skill	Lower Resist	20	12	hit-skill	Poison Nova	25	15	pierce-pois		23	23	splash	proc_SplashDamage	100	1	aura	Cleansing	13	17	allskills		1	2	0
Runeword107	Praise																																															0
Runeword108	Prayer	1		scep									RalTalSolDol	r08	r07	r12	r14			skill	Prayer	5	7	skill	Cleansing	3	5	red-dmg		5	15	red-mag		5	15	dex		15	15	block		25	25	splash	proc_SplashDamage	100	1	0
Runeword109	Pride	1		pole									ChamSurIoLo	r32	r29	r16	r28			dmg-dem/lvl	8			dmg-ltng		50	280	att%		260	300	aura	Concentration	16	20	gethit-skill	Fire Wall	25	17	regen		8	8	splash	proc_SplashDamage	100	1	0
Runeword110	Principle	1		tors	cloa								RalGulEld	r08	r25	r02				hit-skill	Holy Bolt	50	5	pal		2	2	hp		100	150	dmg-undead		50	50													0
Runeword111	Prowess in Battle																																															0
Runeword112	Prudence	1		tors	cloa									r23	r03					ac%		140	170	red-mag		10	10	red-dmg		3	3	res-all		25	35	balance2		25	25	rep-dur	1			light		2	2	0
Runeword113	Punishment																																															0
Runeword114	Purity																																															0
Runeword115	Question																																															0
Runeword117	Rain	1		tors	cloa								OrtMalIth	r09	r23	r06				hit-skill	Twister	5	15	gethit-skill	Cyclone Armor	5	15	dru		2	2	mana		100	150													0
Runeword118	Reason																																															0
Runeword119	Red																																															0
Runeword121	Rift	1		pole	scep								HelKoLemGul	r15	r18	r20	r25			dmg-mag		160	250	dmg-fire		60	180	dmg-to-mana		10	10	hit-skill	Tornado	20	16	att-skill	Frozen Orb	16	21	oskill	Iron Maiden	1	1	splash	proc_SplashDamage	100	1	0
Runeword76	The Lovers																																															0
Runeword143	Thirst																																															0
Runeword68	Thirst for Knowledge																																															0
Runeword144	Thought																																															0
Runeword145	Thunder																																															0
Runeword146	Time																																															0
Runeword147	Tradition																																															0
Runeword148	Treachery	1		tors	cloa								ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Runeword149	Trust																																															0
Runeword150	Truth																																															0
Runeword151	Unbending Will																																															0
Runeword152	Valor																																															0
Runeword153	Vengeance			weap										r06	r11	r01				splash	proc_SplashDamage	100	1																									0
Runeword155	Victory																																															0
Runeword156	Voice			helm										r03	r06																																	0
Runeword157	Void																																															0
Runeword158	War																																															0
Runeword159	Water																																															0
Runeword161	Whisper																																															0
Runeword47	Widowmaker	1		swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		splash	proc_SplashDamage	100	1	dmg		340	400	swing3		30	40	hit-skill	Venom	35	15	pierce-pois		20	25	ignore-ac		1	1	heal-kill		10	15	0
Runeword163	Wind	1		mele										r29	r01					dmg%		120	160	swing2		40	40	move2		20	splash	proc_SplashDamage	100	1	50	hit-skill	245	10	9	oskill	240	15	15	balance2		15	15	0
Runeword164	Wings of Hope																																															0
Runeword99	Winter	1		swor	mace								LemKoElEld	r20	r18	r01	r02			splash	proc_SplashDamage	100	1	dmg%		100	250	dmg-cold		100	220	pierce-cold		24	24	hit-skill	Ice Blast	18	20	hit-skill	Frozen Orb	15	13	nofreeze		1	1	0
Runeword165	Wisdom			shld	staf	wand														splash	proc_SplashDamage	100	1																									0
Runeword166	Woe			weap	miss															splash	proc_SplashDamage	100	1																									0
Runeword167	Wonder			wand										r04	r12	r24				splash	proc_SplashDamage	100	1																									0
Runeword168	Wrath	1		miss									PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		250	300	dmg-ltng		41	240	dmg-mag		85	120	hit-skill	Life Tap	5	10	hit-skill	decrepify	30	1	nofreeze		1	1	0
Runeword169	Youth																																															0
Runeword171	Dreamless	1		shld									IoJahPul	r16	r31	r21				ac		150	220	gethit-skill	Confuse	10	15	mana/lvl	5			res-all		5	20	balance3		20	30	aura	Holy Shock1	20	20	mag%		12	25	0
Runeword172	Dragonless	1		shld									SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	15	gethit-skill	Venom	20	18	aura	Holy Fire1	14	14	all-stats		3	5	0
Runeword173	InfinityM	0		miss									BerMalSurIst	r30	r23	r29	r24			dmg%		265	325	move3		35	36	hp/lvl	12			aura	Conviction	16	16	pierce-fire		41	50	pierce-ltng		41	50	pierce-cold		41	50	0
ChippedAmethystRuneword		0		weap										gcv						dmg-min		1	1	dmg-max		1	1	dmg%		6	10	splash	proc_SplashDamage	100	1													0
ChippedAmethystRuneword		1		weap										gcv	gcv					dmg-min		2	2	dmg-max		2	2	dmg%		10	17	splash	proc_SplashDamage	100	1													0
ChippedAmethystRuneword		1		weap										gcv	gcv	gcv				dmg-min		3	4	dmg-max		3	4	dmg%		14	23	splash	proc_SplashDamage	100	1													0
ChippedAmethystRuneword		1		weap										gcv	gcv	gcv	gcv			dmg-min		3	5	dmg-max		3	5	dmg%		18	29	splash	proc_SplashDamage	100	1													0
ChippedAmethystRuneword		1		weap										gcv	gcv	gcv	gcv	gcv		dmg-min		4	6	dmg-max		4	6	dmg%		23	38	splash	proc_SplashDamage	100	1													0
ChippedAmethystRuneword		1		weap										gcv	gcv	gcv	gcv	gcv	gcv	dmg-min		5	7	dmg-max		5	7	dmg%		27	44	splash	proc_SplashDamage	100	1													0
FlawedAmethystRuneword		0		weap										gfv						dmg-min		2	2	dmg-max		2	2	dmg%		10	17	splash	proc_SplashDamage	100	1													0
FlawedAmethystRuneword		1		weap										gfv	gfv					dmg-min		3	5	dmg-max		3	5	dmg%		14	23	splash	proc_SplashDamage	100	1													0
FlawedAmethystRuneword		1		weap										gfv	gfv	gfv				dmg-min		5	7	dmg-max		5	7	dmg%		19	32	splash	proc_SplashDamage	100	1													0
FlawedAmethystRuneword		1		weap										gfv	gfv	gfv	gfv			dmg-min		7	10	dmg-max		7	10	dmg%		25	42	splash	proc_SplashDamage	100	1													0
FlawedAmethystRuneword		1		weap										gfv	gfv	gfv	gfv	gfv		dmg-min		8	12	dmg-max		8	12	dmg%		29	48	splash	proc_SplashDamage	100	1													0
FlawedAmethystRuneword		1		weap										gfv	gfv	gfv	gfv	gfv	gfv	dmg-min		10	14	dmg-max		10	14	dmg%		34	57	splash	proc_SplashDamage	100	1													0
NormalAmethystRuneword		0		weap										gsv						dmg-min		3	5	dmg-max		3	5	dmg%		23	38	splash	proc_SplashDamage	100	1													0
NormalAmethystRuneword		1		weap										gsv	gsv					dmg-min		7	10	dmg-max		7	10	dmg%		30	50	splash	proc_SplashDamage	100	1													0
NormalAmethystRuneword		1		weap										gsv	gsv	gsv				dmg-min		10	14	dmg-max		10	14	dmg%		38	63	splash	proc_SplashDamage	100	1													0
NormalAmethystRuneword		1		weap										gsv	gsv	gsv	gsv			dmg-min		12	17	dmg-max		12	17	dmg%		49	82	splash	proc_SplashDamage	100	1													0
NormalAmethystRuneword		1		weap										gsv	gsv	gsv	gsv	gsv		dmg-min		15	22	dmg-max		15	22	dmg%		57	94	splash	proc_SplashDamage	100	1													0
NormalAmethystRuneword		1		weap										gsv	gsv	gsv	gsv	gsv	gsv	dmg-min		18	26	dmg-max		18	26	dmg%		64	107	splash	proc_SplashDamage	100	1													0
FlawlessAmethystRuneword		0		weap										gzv						dmg-min		4	6	dmg-max		4	6	dmg%		66	110	splash	proc_SplashDamage	100	1													0
FlawlessAmethystRuneword		1		weap										gzv	gzv					dmg-min		8	12	dmg-max		8	12	dmg%		75	125	splash	proc_SplashDamage	100	1													0
FlawlessAmethystRuneword		1		weap										gzv	gzv	gzv				dmg-min		13	18	dmg-max		13	18	dmg%		87	144	splash	proc_SplashDamage	100	1													0
FlawlessAmethystRuneword		1		weap										gzv	gzv	gzv	gzv			dmg-min		17	24	dmg-max		17	24	dmg%		94	157	splash	proc_SplashDamage	100	1													0
FlawlessAmethystRuneword		1		weap										gzv	gzv	gzv	gzv	gzv		dmg-min		21	30	dmg-max		21	30	dmg%		104	173	splash	proc_SplashDamage	100	1													0
FlawlessAmethystRuneword		1		weap										gzv	gzv	gzv	gzv	gzv	gzv	dmg-min		25	36	dmg-max		25	36	dmg%		113	188	splash	proc_SplashDamage	100	1													0
PerfectAmethystRuneword		0		weap										gpv						dmg-min		6	8	dmg-max		6	8	dmg%		94	157	splash	proc_SplashDamage	100	1													0
PerfectAmethystRuneword		1		weap										gpv	gpv					dmg-min		12	17	dmg-max		12	17	dmg%		109	182	splash	proc_SplashDamage	100	1													0
PerfectAmethystRuneword		1		weap										gpv	gpv	gpv				dmg-min		18	25	dmg-max		18	25	dmg%		120	200	splash	proc_SplashDamage	100	1													0
PerfectAmethystRuneword		1		weap										gpv	gpv	gpv	gpv			dmg-min		23	34	dmg-max		23	34	dmg%		134	223	splash	proc_SplashDamage	100	1													0
PerfectAmethystRuneword		1		weap										gpv	gpv	gpv	gpv	gpv		dmg-min		29	42	dmg-max		29	42	dmg%		147	244	splash	proc_SplashDamage	100	1													0
PerfectAmethystRuneword		1		weap										gpv	gpv	gpv	gpv	gpv	gpv	dmg-min		35	50	dmg-max		35	50	dmg%		162	269	splash	proc_SplashDamage	100	1													0
ChippedAmethystRuneword		0		glov										gcv						dmg-min		1	1	dmg-max		1	1	dmg%		1	2	light		1	1													0
ChippedAmethystRuneword		1		glov										gcv	gcv					dmg-min		2	2	dmg-max		2	2	dmg%		2	4	light		1	1													0
ChippedAmethystRuneword		1		glov										gcv	gcv	gcv				dmg-min		3	4	dmg-max		3	4	dmg%		4	6	light		2	2													0
ChippedAmethystRuneword		1		glov										gcv	gcv	gcv	gcv			dmg-min		3	5	dmg-max		3	5	dmg%		5	8	light		3	3													0
